Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24528;174718;12;0;0;0;0;.00nan;0;0
24528;85798;12;89;31;1;30;.968;3600000;0
24528;149452;31;0;0;0;0;.00nan;0;0
24528;152717;31;73;34;3;31;.912;3514000;0
24529;170314;25;47;28;4;24;.857;3858000;0
24529;175084;22;0;0;0;0;.00nan;0;0
24529;184770;22;55;39;5;34;.872;3858000;0
24529;191813;25;0;0;0;0;.00nan;0;0
24530;170977;30;0;0;0;0;.00nan;0;0
24530;179452;27;0;0;0;0;.00nan;0;0
24530;175660;27;77;38;2;36;.947;3572000;0
24530;86697;30;64;14;1;13;.929;3600000;0
24531;320;21;0;0;0;0;.00nan;0;0
24531;3284;21;98;25;0;25;1.000;3600000;0
24531;194416;17;0;0;0;0;.00nan;0;0
24531;178413;17;92;43;3;40;.930;3600000;0
24532;166646;0;0;0;0;0;.00nan;0;0
24532;59540;0;94;44;2;42;.955;3861000;0
24532;139409;3;65;31;3;28;.903;3861000;0
24532;148958;3;0;0;0;0;.00nan;0;0
24533;170314;25;0;0;0;0;.00nan;0;0
24533;175092;9;0;0;0;0;.00nan;0;0
24533;190106;9;43;36;6;30;.833;3600000;0
24533;191813;25;100;30;0;30;1.000;3600000;0
24534;183859;23;0;0;0;0;.00nan;0;0
24534;184229;35;0;0;0;0;.00nan;0;0
24534;57338;35;85;23;1;22;.957;3763000;0
24534;78573;23;73;25;2;23;.920;3763000;0
24535;167642;18;0;0;0;0;.00nan;0;0
24535;13714;8;0;0;0;0;.00nan;0;0
24535;173727;18;70;22;1;21;.955;4086000;0
24535;58830;8;93;55;2;53;.964;4086000;0
24536;197940;11;82;31;1;30;.968;3600000;0
24536;187537;19;51;27;4;23;.852;3600000;0
24536;178384;19;0;0;0;0;.00nan;0;0
24536;45323;11;0;0;0;0;.00nan;0;0
24537;175912;14;0;0;0;0;.00nan;0;0
24537;185034;14;65;23;2;21;.913;3600000;0
24537;77955;28;0;0;0;0;.00nan;0;0
24537;85437;28;50;45;6;39;.867;3600000;0
24538;166591;20;0;0;0;0;.00nan;0;0
24538;187578;10;57;30;3;27;.900;3596000;0
24538;183783;20;96;39;1;38;.974;3600000;0
24538;90164;10;0;0;0;0;.00nan;0;0
24539;168872;24;0;0;0;0;.00nan;0;0
24539;-1;5;0;0;0;0;.00nan;0;0
24539;61425;5;56;23;2;21;.913;3600000;0
24539;85727;24;62;36;4;32;.889;3556000;0
24540;165723;32;91;37;2;35;.946;3600000;0
24540;20432;32;0;0;0;0;.00nan;0;0
24540;179154;26;28;15;4;11;.733;877000;0
24540;152835;26;62;21;2;19;.905;2723000;0
24541;556;33;60;28;3;25;.893;3563000;0
24541;183844;29;0;0;0;0;.00nan;0;0
24541;173699;29;66;23;2;21;.913;3600000;0
24541;197038;33;0;0;0;0;.00nan;0;0
24542;170977;30;0;0;0;0;.00nan;0;0
24542;174718;12;0;0;0;0;.00nan;0;0
24542;85798;12;68;30;2;28;.933;3573000;0
24542;86697;30;97;24;0;24;1.000;3600000;0
24543;162029;4182;0;0;0;0;.00nan;0;0
24543;172340;4182;63;44;6;38;.864;3600000;0
24543;179452;27;0;0;0;0;.00nan;0;0
24543;175660;27;73;21;1;20;.952;3600000;0
24544;168872;24;0;0;0;0;.00nan;0;0
24544;186573;16;39;1;1;0;.000;1081000;0
24544;50065;16;19;22;6;16;.727;2519000;0
24544;85727;24;60;35;4;31;.886;3600000;0
24545;3928;15;72;46;4;42;.913;3600000;0
24545;163195;15;0;0;0;0;.00nan;0;0
24545;175084;22;41;32;6;26;.813;3514000;0
24545;184770;22;0;0;0;0;.00nan;0;0
24546;187578;10;66;35;4;31;.886;3600000;0
24546;194416;17;0;0;0;0;.00nan;0;0
24546;178413;17;71;22;1;21;.955;3600000;0
24546;90164;10;0;0;0;0;.00nan;0;0
24547;183844;29;0;0;0;0;.00nan;0;0
24547;173699;29;79;44;4;40;.909;3514000;0
24547;184229;35;0;0;0;0;.00nan;0;0
24547;57338;35;74;31;2;29;.935;3600000;0
24548;174718;12;0;0;0;0;.00nan;0;0
24548;175092;9;0;0;0;0;.00nan;0;0
24548;190106;9;88;31;1;30;.968;3600000;0
24548;85798;12;57;21;2;19;.905;3600000;0
24549;166591;20;36;33;6;27;.818;3563000;0
24549;183783;20;0;0;0;0;.00nan;0;0
24549;175912;14;0;0;0;0;.00nan;0;0
24549;185034;14;57;28;4;24;.857;3600000;0
24550;-1;5;0;0;0;0;.00nan;0;0
24550;61425;5;58;23;3;20;.870;3600000;0
24550;149452;31;81;42;4;38;.905;3575000;0
24550;152717;31;0;0;0;0;.00nan;0;0
24551;170314;25;0;0;0;0;.00nan;0;0
24551;191813;25;53;16;2;14;.875;3600000;0
24551;139409;3;69;38;3;35;.921;3572000;0
24551;148958;3;0;0;0;0;.00nan;0;0
24552;183859;23;0;0;0;0;.00nan;0;0
24552;175084;22;66;24;2;22;.917;3576000;0
24552;184770;22;0;0;0;0;.00nan;0;0
24552;78573;23;99;35;1;34;.971;3600000;0
24553;556;33;45;24;4;20;.833;3553000;0
24553;166646;0;0;0;0;0;.00nan;0;0
24553;197038;33;0;0;0;0;.00nan;0;0
24553;59540;0;73;23;2;21;.913;3600000;0
24554;183904;34;0;0;0;0;.00nan;0;0
24554;77955;28;0;0;0;0;.00nan;0;0
24554;78806;34;70;20;1;19;.950;3600000;0
24554;85437;28;86;40;3;37;.925;3516000;0
24555;170977;30;0;0;0;0;.00nan;0;0
24555;179154;26;80;29;2;27;.931;4200000;0
24555;86697;30;64;24;2;22;.917;4200000;0
24555;152835;26;0;0;0;0;.00nan;0;0
24556;197940;11;58;39;5;34;.872;3564000;0
24556;187537;19;0;0;0;0;.00nan;0;0
24556;178384;19;45;28;4;24;.857;3600000;0
24556;45323;11;0;0;0;0;.00nan;0;0
24557;162029;4182;0;0;0;0;.00nan;0;0
24557;172340;4182;81;41;3;38;.927;3600000;0
24557;13714;8;100;29;0;29;1.000;3600000;0
24557;58830;8;0;0;0;0;.00nan;0;0
24558;179452;27;0;0;0;0;.00nan;0;0
24558;175660;27;92;21;0;21;1.000;3600000;0
24558;196090;4838;67;28;2;26;.929;3560000;0
