Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
0;1;129;170904;91652;179118;31;ES;2
0;1;1169;85136;17910;;33;ES;4
0;2;21;79119;75274;81180;33;ES;4
0;2;195;77073;85788;937;31;PP;3
0;2;228;84974;59218;12640;33;ES;3
0;2;873;91661;85788;58824;31;ES;3
1;1;550;6508;85225;14807;24;ES;1
1;1;1183;143407;86137;152645;25;ES;1
1;2;359;152645;143407;86137;25;ES;4
1;2;932;14807;91186;38265;24;PP;3
1;2;1070;91186;61262;176042;24;ES;2
1;2;1166;3183;38274;143407;25;ES;1
1;3;63;86477;79114;29596;25;ES;3
1;3;1006;3183;38274;77072;25;ES;3
1;3;1128;152645;3183;;25;PP, ENG;2
2;1;419;21662;165557;65145;4838;PP;4
2;1;787;161392;168531;84981;4182;ES;3
2;2;165;11750;91184;74943;4182;PP;3
2;3;550;161392;168531;;4182;ES;2
2;3;849;13279;14137;65145;4838;ES;3
3;1;86;85524;91427;165406;3;ES;3
3;1;730;19408;77093;85723;15;ES;3
3;1;738;16544;18992;85000;3;ES;4
3;1;745;4924;1063;85461;3;ES;1
3;1;1056;85723;146381;;15;ES;2
3;2;40;85998;91427;170958;3;ES;3
3;2;640;16544;18992;85378;3;ES;2
3;2;965;85723;22345;;15;ES;3
3;3;128;85378;16544;18992;3;PP;2
3;3;248;85378;18992;54289;3;PP;2
3;3;476;28252;146381;33862;15;PP;1
3;3;905;146239;170958;85998;3;ES;4
4;2;424;183694;148060;43826;17;ES;4
4;2;767;43826;75405;143348;17;ES;3
4;3;1055;31567;47167;;28;PP;3
5;1;1084;91730;84979;;9;ES;3
5;1;1096;37049;2949;;25;ES;4
5;3;162;143407;152645;78185;25;ES;2
6;1;898;175763;164293;175445;30;ES;3
6;2;103;186306;168955;86340;30;ES;2
6;2;306;14249;47116;57588;32;PP;4
6;3;97;18911;37584;;30;PP;1
6;3;355;15810;47116;57588;32;PP;1
6;3;1181;36145;86340;34723;30;SH, ENG;1
7;1;277;38057;11983;36804;8;PP;3
7;1;904;33157;20818;;27;PP;2
7;2;288;34741;84964;79273;27;ES;3
7;2;558;558;44353;65061;8;ES;4
7;2;894;87153;78803;;27;ES;2
7;2;1056;79273;13921;84964;27;ES;4
7;3;438;31467;148584;47111;27;ES;3
7;3;870;57709;533;;8;ES;1
7;3;1166;8453;78463;;8;ES;4
8;1;985;6128;78466;95065;18;ES;3
8;1;1075;78619;173556;164558;18;ES;2
8;2;317;57224;164471;173556;18;ES;3
8;2;436;79025;177176;57589;18;ES;4
8;2;629;74667;75848;58247;23;ES;4
9;1;87;34754;32965;43726;21;ES;2
9;1;569;168246;85219;15888;0;ES;1
9;1;597;78805;170749;19695;0;ES;3
9;2;143;15888;18099;1302;0;ES;3
9;2;866;78805;85003;18099;0;PP;3
9;2;876;79105;57175;146358;21;ES;2
9;2;1116;78805;19695;31454;0;ES;3
9;3;350;47098;34754;;21;PP;1
10;1;740;79102;35327;59667;14;ES;3
10;1;1111;129;85790;20246;14;ES;3
10;2;665;59667;57581;;14;ES;3
10;2;1074;129;708;85790;14;ES;3
11;1;928;91388;85099;44163;5;PP;3
11;1;1048;174886;44163;169021;5;SH;3
11;2;372;13304;85099;;5;ES;3
11;2;634;85789;11770;91204;5;ES;4
11;3;538;84958;167030;58391;10;ES;3
11;3;676;18980;84958;64889;10;ES;4
12;1;239;37742;4292;166556;26;ES;4
12;2;456;91649;86023;170875;26;ES;2
12;3;93;173806;86023;170875;26;ES;2
12;3;137;91644;3177;85827;35;PP;3
13;1;9;169476;18206;165214;16;ES;1
13;1;708;18206;165214;;16;ES;2
13;2;886;31432;75265;;16;PP;3
13;3;586;78571;91662;43784;29;PP;3
14;1;393;62280;;;4182;ES;4
14;1;570;74943;74729;11750;4182;PP;3
14;2;619;9488;74740;161392;4182;ES;3
15;1;243;146323;174222;75138;11;ES;4
15;1;652;173872;15856;77074;4838;ES;2
15;1;1054;176088;174222;36696;11;ES;4
15;1;1088;174222;59790;146323;11;ES;3
15;2;478;78567;173242;32996;11;ES;4
15;2;879;149302;21662;;4838;ES;1
15;3;409;66828;173872;15856;4838;ES;3
15;3;706;75103;165557;;4838;ES;3
15;OT1;445;12503;21662;77074;4838;PP;3
16;2;128;238;3133;18980;10;PP;3
16;2;480;63939;75279;58391;10;ES;4
16;2;1036;164664;675;;10;ES;3
16;3;134;167030;16991;91183;10;ES;3
16;3;598;14785;5501;91643;12;ES;3
17;1;88;18207;143375;77101;20;ES;4
17;1;608;18207;143375;;20;ES;3
17;2;1025;58002;77101;23067;20;ES;1
17;2;1171;143375;84970;27809;20;PP;3
18;1;630;85998;77087;54289;3;ES;4
18;3;1170;85461;85000;86924;3;ES;3
19;1;706;178926;85773;;29;ES;1
19;1;785;15810;55614;47116;32;ES;4
19;2;80;78571;91662;91191;29;PP;1
19;2;640;19182;91383;91653;32;ES;1
19;OT1;274;47116;143013;57588;32;ES;3
20;1;1154;564;12640;177813;33;PP;3
20;2;771;36096;166487;12893;9;ES;1
20;3;535;78680;57824;;9;ES;4
21;1;136;38304;47102;;21;ES;3
21;2;380;70249;29554;47107;21;ES;1
21;3;326;143666;72369;;14;ES;4
21;3;444;38304;183398;47102;21;ES;3
21;3;1082;85790;708;;14;ES;4
