Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
0;2033;9;27;FLA Live Arena;10028;31;33;3;4;1;2;0;0;0;1;2;0;0;1;84974;85788;12640;76;63;0;6;29;21;3;7;2;7;21;28;10;12;11;9;7;11;9;1;1;3;0;0;Regular Season;12;44;12;11;0;10;31;10;10;4
1;2033;9;27;PNC Arena;12386;24;25;3;6;1;2;0;0;0;1;2;3;0;0;3183;152645;143407;72;51;4;8;36;11;3;10;9;5;22;35;15;15;5;0;4;7;12;0;1;4;1;2;Regular Season;9;24;19;16;4;7;22;12;6;4
2;2033;9;27;Climate Pledge Arena;8430;4838;4182;2;3;1;0;1;0;0;1;1;1;0;0;161392;65145;168531;46;63;4;4;30;23;9;5;6;4;18;30;10;4;9;0;13;23;8;0;1;2;1;2;Regular Season;10;14;16;4;2;5;31;15;9;3
3;2033;9;28;PPG Paints Arena;13758;15;3;4;8;2;1;1;0;0;3;2;3;0;0;18992;91427;85998;80;66;8;11;22;13;8;4;10;7;34;28;21;20;11;0;12;5;8;0;1;4;2;4;Regular Season;5;33;20;20;2;15;22;18;9;2
4;2033;9;28;Canadian Tire Centre;12780;28;17;1;2;0;0;1;0;0;0;2;0;0;0;43826;47167;183694;56;64;16;6;27;11;4;6;9;8;29;20;13;7;11;0;9;8;11;0;1;3;0;3;Regular Season;10;17;14;12;3;12;30;13;6;3
5;2033;9;28;Little Caesars Arena;14166;9;25;1;2;1;0;0;0;0;1;0;1;0;0;78185;91730;152645;57;54;4;8;27;12;8;7;4;8;28;28;8;10;8;0;15;7;10;0;0;4;0;2;Regular Season;11;20;16;8;2;4;28;9;10;3
6;2033;9;28;Honda Center;13592;30;32;4;2;1;1;2;0;0;0;1;1;0;0;86340;47116;175445;63;60;6;8;28;20;4;3;5;3;20;37;14;11;17;0;9;9;12;0;1;4;2;3;Regular Season;3;28;11;11;10;9;22;16;9;4
7;2033;9;28;SAP Center;15560;27;8;5;4;1;3;1;0;0;1;1;2;0;0;84964;65061;79273;69;56;8;6;23;21;4;8;6;2;43;21;19;13;13;0;5;10;18;0;1;3;1;4;Regular Season;2;28;18;17;4;10;21;13;8;4
8;2033;9;28;Rogers Place;14046;23;18;1;4;0;1;0;0;0;2;2;0;0;0;173556;164471;78619;54;63;4;4;28;20;6;8;2;8;32;14;9;7;11;0;11;14;10;0;0;2;0;2;Regular Season;7;26;10;9;2;12;25;11;11;4
9;2033;9;29;Bell Centre;21273;0;21;5;3;2;3;0;0;0;1;1;1;0;0;78805;57175;19695;62;54;10;16;32;22;4;2;5;4;30;25;13;17;8;0;8;10;17;0;1;3;1;5;Regular Season;8;33;9;11;1;9;29;9;6;1
10;2033;9;29;Wells Fargo Center;17594;14;34;4;0;2;2;0;0;0;0;0;0;0;0;85790;59667;129;70;60;2;8;26;10;4;3;4;4;35;30;10;7;26;0;5;17;1;0;0;4;0;1;Regular Season;9;29;19;12;1;11;22;15;11;1
11;2033;9;29;Madison Square Garden;13511;10;5;2;4;0;0;2;0;0;2;2;0;0;0;44163;84958;36755;58;55;8;8;26;8;10;4;5;11;40;33;14;17;9;0;12;7;9;0;0;4;1;4;Regular Season;11;27;10;8;2;7;28;9;10;1
12;2033;9;29;New Tempe Arena;8282;26;35;3;1;1;1;1;0;0;0;0;1;0;0;86023;85827;170875;63;61;6;4;25;16;6;7;6;4;22;31;6;16;10;0;12;12;8;0;0;2;1;3;Regular Season;7;24;15;12;5;4;31;11;13;2
13;2033;9;29;Enterprise Center;18226;16;29;3;1;2;1;0;0;0;0;0;1;0;0;18206;78571;165214;54;55;18;10;27;28;3;2;1;8;31;33;9;14;8;0;6;6;13;0;1;5;1;4;Regular Season;9;26;11;5;3;7;32;10;4;2
14;2033;9;29;Canada Life Centre;7964;33;4182;0;3;0;0;0;0;0;2;1;0;0;0;147945;9488;62280;63;46;4;6;17;26;7;3;4;6;31;21;4;15;11;0;7;9;5;0;0;3;1;2;Regular Season;7;26;16;12;2;8;17;12;6;3
15;2033;9;29;Crypto.com Arena;16922;11;4838;4;5;3;1;0;0;0;1;1;2;1;0;21662;174222;173872;61;67;18;4;38;13;7;9;4;6;36;37;14;7;9;0;10;23;9;5;0;2;1;4;Regular Season;5;28;10;13;5;5;35;13;11;3
16;2033;9;30;Madison Square Garden;16555;10;12;4;1;0;3;1;0;0;0;0;1;0;0;58391;75279;63939;54;55;6;4;26;14;4;6;4;3;26;27;9;14;6;0;6;6;16;0;1;2;0;3;Regular Season;11;24;6;9;4;9;22;10;12;2
17;2033;9;30;UBS Arena;17113;20;24;4;0;2;2;0;0;0;0;0;0;0;0;143375;18207;77101;78;51;8;8;20;25;4;5;3;5;31;19;16;17;17;0;8;5;10;0;1;4;0;4;Regular Season;7;40;12;18;1;11;18;16;4;2
18;2033;10;1;Scotiabank Arena;18876;3;34;2;0;1;0;1;0;0;0;0;0;0;0;556;79104;85461;64;60;15;23;30;15;4;8;8;6;25;29;10;15;10;0;8;15;9;0;0;4;0;5;Regular Season;12;29;12;8;3;10;28;13;7;2
19;2033;10;1;Bridgestone Arena;9228;32;29;3;2;1;1;0;1;0;1;1;0;0;0;47116;178926;58830;73;62;6;2;23;23;1;7;6;7;23;39;16;10;10;4;9;16;15;0;0;1;1;3;Regular Season;10;29;12;16;6;8;29;13;11;1
20;2033;10;1;Little Caesars Arena;12576;9;33;2;1;0;1;1;0;0;1;0;0;0;0;36096;564;57824;66;43;6;6;29;17;4;3;6;7;40;23;9;14;11;0;8;9;7;0;0;3;1;3;Regular Season;6;32;17;8;3;8;19;8;8;0
21;2033;10;1;Wells Fargo Center;18689;14;21;2;4;0;0;2;0;0;1;1;2;0;0;47107;708;38304;65;54;6;6;17;15;8;7;5;8;36;26;7;10;12;0;6;12;7;0;0;3;0;3;Regular Season;4;30;11;13;7;10;26;12;5;1
22;2033;10;1;TD Garden;16623;5;31;5;4;3;0;2;0;0;2;1;1;0;0;57335;74661;91204;54;61;4;4;11;24;11;7;6;5;29;28;11;4;8;0;12;21;4;0;0;2;0;2;Regular Season;12;25;6;8;3;7;22;17;9;6
23;2033;10;1;KeyBank Center;14957;17;25;2;3;0;2;0;0;0;1;1;1;0;0;2949;85031;167046;53;76;11;5;25;30;5;2;5;6;24;36;3;14;9;0;21;11;13;0;0;0;1;3;Regular Season;8;25;11;7;2;7;43;14;9;3
24;2033;10;1;PNC Arena;14316;24;30;6;4;2;2;2;0;0;1;3;0;0;0;38265;31472;67718;63;67;8;6;19;23;2;9;7;6;26;33;13;7;17;0;13;29;4;0;2;3;0;4;Regular Season;6;26;23;5;3;9;30;15;10;3
25;2033;10;1;Canadian Tire Centre;14650;28;16;2;5;1;1;0;0;0;3;1;1;0;0;169476;165214;57195;56;69;4;0;16;6;8;7;7;10;25;29;12;6;15;0;17;13;13;0;0;0;0;2;Regular Season;6;31;10;7;2;6;33;14;14;2
26;2033;10;1;Capital One Arena;18512;22;0;2;5;0;0;2;0;0;2;2;1;0;0;91655;170749;91178;75;49;4;2;22;28;3;3;6;8;23;28;8;13;24;0;10;7;9;0;1;1;0;2;Regular Season;9;39;12;14;1;8;20;14;6;1
