PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
15;2035;30;0;1;4200;0;0;1;0;0;3;36;72
15;2022;5004;22;2;7200;0;0;0;0;0;11;69;0
15;2022;2592;198;1;3600;0;0;0;0;0;3;29;0
15;2023;2592;198;4;14524;3;0;1;0;0;8;129;49
15;2024;2592;198;1;3600;0;1;0;1;0;4;28;41
15;2025;2592;198;6;21924;3;2;1;0;0;18;171;52
15;2026;2592;198;1;3600;1;0;0;0;1;0;31;58
15;2027;487;198;3;9851;2;1;0;0;0;6;81;55
15;2028;487;198;2;7200;2;0;0;0;0;1;51;60
15;2029;487;198;3;11100;2;0;1;0;0;4;92;50
15;2030;487;198;1;3600;0;1;0;0;0;4;27;52
15;2031;487;198;3;7679;2;1;0;0;0;6;56;55
15;2032;487;198;3;10800;1;2;0;0;0;9;103;51
15;2033;487;198;3;10938;1;2;0;1;0;11;94;49
15;2034;487;198;4;14350;3;1;0;0;0;9;124;47
187464;2034;359;42;5;17938;3;2;0;1;0;13;153;44
187464;2033;359;42;2;7801;1;1;0;0;0;5;66;54
187464;2032;2013;109;26;88486;16;9;1;2;0;81;747;61
187464;2031;2013;109;29;104141;13;12;4;2;0;94;884;54
187464;2030;2013;109;30;102537;26;2;2;0;0;52;852;41
187464;2029;1538;110;32;115934;19;9;4;1;0;89;962;38
197940;2031;1538;110;33;111009;23;10;0;2;0;83;961;39
197940;2032;2013;109;28;97241;16;11;1;1;0;86;782;43
197940;2033;1563;105;37;121546;21;16;0;4;0;99;1033;61
197940;2034;100;12;31;108508;16;11;3;4;2;95;935;64
197940;2035;100;12;18;61673;8;8;2;1;0;61;517;59
31;2035;1581;117;6;21600;4;2;0;1;0;17;181;48
31;2022;936;53;9;30780;0;0;0;0;0;14;230;0
31;2023;774;54;3;11100;3;0;0;0;1;4;96;87
31;2023;3721;54;1;3873;0;0;1;0;0;4;36;55
31;2024;3721;54;8;26302;5;2;0;0;0;10;181;71
31;2024;915;53;2;3211;0;1;1;0;0;6;28;49
31;2025;2073;119;19;63850;11;4;4;1;0;49;531;46
31;2026;1581;117;18;62865;12;4;2;1;0;37;516;48
31;2027;1581;117;17;54064;6;8;3;1;0;60;467;47
31;2028;1581;117;19;67142;9;6;4;0;0;52;562;50
31;2029;1581;117;12;41270;7;3;2;0;0;27;368;49
31;2030;1581;117;19;65658;13;5;1;2;0;48;575;48
31;2031;1581;117;14;49968;7;5;2;1;0;50;421;46
31;2032;1581;117;19;61316;14;3;2;0;0;39;499;49
31;2033;1581;117;14;48415;6;7;1;0;0;46;379;47
31;2034;1581;117;17;60615;13;2;2;1;0;36;501;49
208414;2035;1561;111;6;21521;3;2;1;0;0;15;170;59
208414;2034;2013;109;26;93558;17;6;3;2;0;74;804;43
208414;2033;1538;110;28;95873;22;5;1;1;0;69;782;41
203171;2035;1561;111;5;17948;2;2;1;1;0;12;141;57
203171;2034;2013;109;25;88576;14;8;3;1;0;66;756;58
203171;2033;2013;109;31;110726;20;8;3;1;0;93;919;41
203171;2032;1538;110;27;95489;20;6;1;1;0;65;783;40
208417;2035;4972;105;7;24059;6;1;0;0;0;22;214;61
208417;2034;2013;109;31;103568;14;13;4;2;0;90;923;42
208417;2033;1538;110;32;111629;18;8;6;0;0;100;935;39
208419;2035;2013;109;6;22802;4;1;1;0;0;15;184;55
208419;2033;1538;110;31;109324;20;8;3;1;0;77;927;40
208419;2034;2013;109;29;102570;18;8;3;2;0;74;850;41
213650;2035;2013;109;7;25130;6;1;0;0;0;12;227;43
213650;2034;1538;110;29;97940;16;8;5;0;0;76;853;41
67;2035;11;0;12;37908;2;3;4;0;0;37;328;58
67;2023;1774;119;19;63534;10;6;3;1;0;52;520;42
67;2024;2317;147;3;10812;1;1;1;0;0;11;94;45
67;2025;2317;147;2;4201;1;1;0;0;0;8;33;44
67;2026;2317;147;1;3600;1;0;0;0;0;3;27;52
67;2027;1610;116;24;83824;11;12;1;1;0;58;708;45
67;2028;1610;116;22;75983;13;6;3;1;0;56;653;47
67;2029;4644;16;7;10894;1;1;0;0;0;12;106;53
67;2030;1610;116;24;76369;14;7;3;2;0;72;650;46
67;2031;1610;116;22;77413;12;8;2;1;0;62;675;46
67;2032;612;16;3;10800;2;1;0;0;0;10;65;50
67;2034;11;0;16;45520;3;5;2;0;0;57;507;60
83;2035;737;2;36;129958;21;13;2;2;3;74;982;72
83;2034;737;2;65;236360;34;26;5;2;6;170;1998;71
83;2019;918;53;2;7200;0;0;0;0;0;2;36;0
83;2020;1501;56;8;27360;0;0;0;0;0;20;250;0
83;2020;918;53;3;10800;0;0;0;0;0;3;49;0
83;2021;1340;13;42;143640;0;0;0;0;0;113;1046;0
83;2022;109;11;45;153900;0;0;0;0;0;153;1378;0
83;2023;276;35;55;196258;38;15;2;3;0;140;1681;71
83;2024;472;22;41;148656;29;11;1;3;3;104;1161;68
83;2025;744;2;60;217368;35;20;5;3;6;126;1534;70
83;2026;744;2;10;36254;7;3;0;0;2;22;252;70
83;2026;738;2;48;172781;28;16;4;2;6;100;1069;65
83;2027;741;2;38;135377;17;15;5;1;2;92;1193;74
83;2028;741;2;61;222389;36;17;8;3;7;137;1872;74
83;2029;742;2;66;238636;35;24;7;3;7;178;2131;74
83;2030;742;2;52;180234;28;22;1;3;5;134;1708;75
83;2031;748;2;35;122896;20;14;1;2;3;111;1099;67
83;2031;2168;2;23;82771;14;9;0;0;0;66;829;78
83;2032;2168;2;65;235765;32;26;7;3;3;176;1977;69
83;2033;737;2;64;233051;29;27;8;5;7;148;1962;76
96;2035;2505;143;1;3600;1;0;0;0;0;1;32;43
96;2034;2505;143;2;7801;2;0;0;0;0;3;75;44
96;2033;849;218;5;15940;2;2;1;0;0;12;131;47
96;2032;4750;143;2;7200;2;0;0;0;1;1;73;50
96;2031;2486;143;3;10752;2;1;0;0;0;5;98;48
96;2030;4747;143;5;19146;3;1;1;0;0;17;158;45
96;2029;4747;143;2;7801;2;0;0;0;0;3;73;41
96;2028;4747;143;2;7200;2;0;0;0;0;1;63;44
96;2027;4747;143;1;3600;1;0;0;0;0;2;33;42
96;2026;4747;143;1;3600;1;0;0;0;1;0;28;49
96;2025;2496;218;4;14349;2;2;0;1;0;10;114;43
96;2024;2495;143;3;10800;2;1;0;0;0;7;85;48
96;2023;2495;143;3;11347;2;1;0;0;0;9;101;45
96;2022;2494;218;6;20520;0;0;0;0;0;10;0;0
96;2019;2457;142;12;41040;0;0;0;0;0;36;327;0
203177;2035;1561;111;8;27138;4;3;1;2;0;13;222;57
203177;2034;1561;111;20;69980;12;8;0;3;0;43;596;57
203177;2033;2013;109;29;101584;18;11;0;1;0;95;830;42
203177;2032;1538;110;31;103256;19;9;3;2;0;88;896;40
213659;2035;2013;109;8;29345;5;3;0;1;0;28;248;41
213659;2034;1538;110;33;110451;19;10;4;1;0;85;918;40
132;2035;1581;117;3;10800;3;0;0;0;0;5;82;56
132;2034;1581;117;21;77248;13;4;4;0;0;48;660;49
132;2033;1581;117;17;60069;11;6;0;2;0;48;505;49
132;2032;1581;117;19;68661;11;8;0;2;0;64;579;49
132;2031;1581;117;16;55699;13;2;1;1;0;36;460;47
132;2030;1581;117;16;55777;11;4;1;0;0;28;465;52
132;2029;1581;117;19;66041;8;8;3;2;0;59;514;52
132;2028;1581;117;17;61748;10;6;1;1;0;54;510;50
132;2027;1581;117;17;56224;9;8;0;1;0;51;480;49
132;2026;1581;117;18;64250;9;8;1;0;0;46;514;51
132;2025;2073;119;19;62720;13;6;0;0;0;43;508;52
132;2024;920;53;3;10800;3;0;0;0;0;4;92;46
132;2024;1880;2;6;19698;3;2;0;1;0;16;162;64
132;2023;2545;54;18;63534;5;10;2;0;0;48;489;63
203179;2035;365;42;5;18601;4;1;0;0;0;12;153;54
203179;2034;365;42;28;93974;17;9;2;1;0;82;756;55
203179;2033;1561;111;18;62139;12;5;1;0;0;35;505;42
203179;2032;1538;110;29;100747;15;12;2;2;0;95;862;41
161403;2024;1538;110;26;88469;16;7;3;2;0;78;769;40
161403;2025;2013;109;29;102908;11;17;1;3;0;107;876;41
161403;2026;1561;111;23;76837;11;10;2;0;0;50;612;53
161403;2027;1561;111;16;56580;9;6;1;0;1;31;455;63
161403;2028;1561;111;26;84446;14;9;3;1;0;60;707;46
161403;2029;366;42;21;76097;13;7;1;2;0;61;620;53
161403;2030;366;42;22;76300;14;8;0;1;0;66;628;58
161403;2031;5026;112;27;98859;18;6;3;0;0;64;833;61
161403;2032;5026;112;30;109181;21;6;3;2;0;71;900;58
161403;2033;5026;112;27;96007;18;9;0;1;0;66;826;58
144;2035;1576;117;5;18601;4;1;0;1;0;12;162;42
144;2034;1576;117;17;59002;9;5;3;2;0;42;509;42
144;2033;1576;117;12;40724;6;3;3;0;0;40;333;42
144;2032;1576;117;18;67126;12;4;2;0;0;44;563;42
144;2031;1576;117;13;47082;9;3;1;0;0;28;414;41
144;2030;1576;117;15;54465;12;3;0;0;0;38;470;42
144;2029;1576;117;14;43771;10;3;1;1;0;31;376;43
144;2028;1576;117;18;57411;11;6;1;0;0;50;522;44
