PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
446;2023;769;54;5;17933;2;3;0;0;1;15;146;65
512;2023;874;48;4;14700;3;1;0;0;1;9;104;67
1679;2023;4991;32;1;3600;1;0;0;0;0;3;28;67
13449;2023;1440;247;3;10794;0;3;0;0;0;12;90;52
20993;2023;842;66;3;11017;2;1;0;0;0;7;60;55
23042;2023;2164;134;4;11392;2;1;0;0;0;7;108;71
79290;2023;2161;134;3;8619;1;0;1;0;0;6;92;79
79355;2023;2579;29;2;6401;0;1;1;0;0;7;40;42
266;2023;35;0;4;13349;1;2;0;1;1;13;117;64
725;2023;10;0;3;11100;2;1;0;0;0;13;111;71
740;2023;9;0;3;8387;1;1;1;0;0;11;77;57
842;2023;30;0;3;10800;1;2;0;0;0;12;138;78
908;2023;39;1;0;0;0;0;0;0;0;0;0;0
1054;2023;828;7;2;7475;2;0;0;0;0;2;62;89
1258;2023;3;0;5;13764;2;2;0;1;1;13;113;64
1355;2023;875;4;3;10884;3;0;0;0;0;8;90;69
2523;2023;3916;33;0;0;0;0;0;0;0;0;0;0
3203;2023;2188;20;3;10800;3;0;0;0;0;7;61;60
3595;2023;1527;33;0;0;0;0;0;0;0;0;0;0
3847;2023;3797;193;5;13462;1;3;0;0;0;17;114;48
3860;2023;54;1;1;3210;1;0;0;0;0;1;21;78
5213;2023;3796;193;3;7992;1;1;0;0;0;10;77;51
5553;2023;575;3;0;0;0;0;0;0;0;0;0;0
9712;2023;776;8;4;14645;1;2;1;0;1;11;107;58
10089;2023;24;0;3;10800;2;1;0;0;0;7;83;74
10104;2023;551;24;3;10420;1;2;0;0;0;10;99;67
10256;2023;834;7;3;8390;1;1;1;0;0;9;66;54
10474;2023;839;7;3;10800;1;2;0;0;0;11;78;61
10478;2023;511;5;4;15000;3;0;1;0;1;8;90;68
11487;2023;2319;16;4;14862;2;2;0;0;0;15;156;67
11529;2023;2158;134;3;10800;2;1;0;0;0;9;93;69
12043;2023;634;6;4;13697;1;3;0;1;1;15;118;55
12369;2023;473;22;3;9731;0;2;1;0;0;14;93;51
12383;2023;4924;54;2;7258;1;1;0;0;0;8;80;67
12383;2023;740;9999;5;18084;2;3;0;1;0;22;149;49
12496;2023;482;22;5;17923;3;2;0;0;1;8;173;88
12501;2023;622;16;2;7200;2;0;0;0;0;4;54;77
12512;2023;4644;16;4;14400;1;3;0;0;1;17;131;52
12517;2023;518;5;1;3566;0;1;0;1;0;3;26;58
12532;2023;710;15;4;14490;2;2;0;0;0;10;116;75
13525;2023;554;9;4;14654;1;2;1;1;1;10;152;79
13963;2023;59;1;0;0;0;0;0;0;0;0;0;0
16569;2023;504;23;5;17559;2;3;0;1;0;19;176;62
16650;2023;547;24;4;15000;2;1;1;0;1;7;115;78
17477;2023;743;2;2;7200;2;0;0;0;1;4;50;70
17676;2023;746;54;2;7200;1;1;0;0;0;6;57;67
18365;2023;911;54;4;14211;2;1;1;0;0;14;128;63
21915;2023;523;5;5;18600;1;2;2;0;1;14;187;73
22972;2023;2163;134;0;0;0;0;0;0;0;0;0;0
23051;2023;2164;134;3;10775;1;2;0;0;0;8;106;81
34763;2023;3789;2;3;10757;1;2;0;0;0;9;93;59
18201;2023;2464;15;2;7157;0;2;0;1;0;4;78;84
19040;2023;2464;15;5;18392;1;2;2;0;1;16;201;67
14586;2023;479;83;4;14596;2;2;0;2;0;12;154;74
13640;2023;1827;62;2;7132;0;2;0;0;0;9;77;68
18197;2023;1827;62;2;7792;0;1;1;0;0;10;72;56
9575;2024;635;62;4;15963;2;1;0;0;0;12;111;62
9575;2023;635;6;1;3352;0;1;0;0;0;6;39;43
16496;2024;502;23;1;3600;1;0;0;0;1;0;13;79
18737;2024;452;29;2;6601;2;0;0;0;0;5;54;67
18737;2023;459;29;2;4081;1;1;0;0;0;3;23;48
20880;2023;714;15;0;0;0;0;0;0;0;0;0;0
88011;2024;552;9;1;3550;0;1;0;0;0;5;28;46
88011;2023;552;9;2;6857;0;2;0;0;0;10;69;47
1077;2023;0;0;5;13090;0;3;1;1;0;14;123;59
1077;2024;0;0;4;14700;2;1;1;0;0;15;145;75
1429;2024;3789;2;3;10800;2;1;0;0;0;5;75;73
1429;2023;3789;2;4;14395;1;2;1;1;0;13;126;68
1443;2023;11;0;3;11298;2;1;0;0;0;11;100;72
1691;2023;558;9;4;15000;3;0;1;0;1;8;141;83
2064;2023;8;0;5;15622;4;0;0;0;0;9;145;77
2474;2023;4247;33;1;2773;0;1;0;0;0;7;36;36
3813;2024;675;22;2;7200;1;1;0;0;0;6;55;66
3813;2023;675;22;2;7200;2;0;0;0;0;3;46;71
4114;2024;56;1;0;0;0;0;0;0;0;0;0;0
4114;2023;18;0;4;11403;2;1;0;0;0;9;97;68
5330;2024;1368;32;0;0;0;0;0;0;0;0;0;0
5330;2023;1097;10;0;0;0;0;0;0;0;0;0;0
6885;2024;1427;247;3;10800;3;0;0;0;0;7;91;77
6885;2023;561;9;1;3898;1;0;0;0;0;1;29;77
8386;2024;626;6;2;7147;1;1;0;0;0;5;39;53
8386;2023;626;6;3;10683;1;2;0;1;0;9;85;63
9091;2023;555;9;4;14696;3;1;0;0;0;11;105;58
9848;2024;476;22;1;3600;1;0;0;0;0;2;27;66
9848;2023;476;22;4;14286;1;3;0;0;0;9;114;72
9952;2024;564;3;1;311;0;0;0;0;0;0;0;48
9952;2023;580;59;4;12026;2;1;0;1;0;12;138;74
10128;2024;635;62;4;11091;1;2;1;0;0;12;58;42
10128;2023;635;6;5;14817;3;1;0;0;0;10;148;74
10612;2024;519;5;3;10782;2;1;0;1;0;5;84;80
10612;2023;518;5;2;7500;1;0;1;0;0;3;56;86
10659;2024;641;62;0;0;0;0;0;0;0;0;0;0
10659;2023;641;62;4;14400;3;1;0;0;2;7;122;83
11462;2023;751;2;4;14373;2;2;0;0;1;4;128;88
11634;2024;844;7;3;11059;2;1;0;0;1;5;104;82
11634;2023;844;7;3;10732;1;2;0;0;0;10;93;59
11765;2024;835;7;3;11367;2;1;0;0;0;9;90;73
11765;2023;835;7;2;4507;1;0;0;0;0;3;35;60
12820;2024;5004;22;1;3600;1;0;0;0;0;4;30;59
12820;2023;5004;22;3;11626;0;1;2;0;1;4;95;80
12964;2024;2312;16;1;3679;1;0;0;0;0;5;36;63
13121;2024;622;16;4;10091;0;2;0;1;0;12;108;55
13123;2024;2319;16;3;10762;2;1;0;0;0;6;82;67
13727;2024;2488;66;4;14651;2;1;1;1;0;12;99;54
13727;2023;2488;66;4;14357;1;3;0;1;0;16;127;54
13925;2023;676;22;0;0;0;0;0;0;0;0;0;0
13959;2023;24;0;4;14400;3;1;0;0;0;12;110;67
13959;2024;24;0;3;10736;2;1;0;0;0;12;116;74
14050;2024;892;4;1;3600;1;0;0;0;0;3;25;59
14050;2023;877;4;1;3587;0;1;0;1;0;3;31;72
14546;2023;777;8;1;3544;0;1;0;0;0;1;26;82
16856;2024;879;4;4;14305;0;4;0;0;0;13;135;67
16856;2023;879;4;4;11325;1;2;0;1;0;8;95;64
17566;2023;4989;54;3;10800;2;1;0;0;0;6;50;55
19507;2023;778;8;5;18164;1;3;1;0;0;19;158;59
19611;2024;4921;10;0;0;0;0;0;0;0;0;0;0
20051;2023;2190;24;2;7200;2;0;0;0;0;3;45;73
22998;2024;2164;134;3;10725;0;3;0;0;0;14;118;60
23032;2024;2163;134;4;14960;3;0;1;0;2;5;102;76
23032;2023;2163;134;6;21439;2;4;0;2;0;17;157;63
27518;2023;720;20;4;11906;1;2;1;0;0;11;112;64
29175;2024;2556;128;2;7155;1;1;0;0;0;4;59;70
29175;2023;2259;128;2;7159;1;1;0;0;0;8;75;71
44459;2023;94;12;3;8996;0;3;0;0;0;15;77;38
57688;2023;119;11;4;14531;4;0;0;0;0;9;115;67
64845;2023;143;13;3;10514;0;3;0;0;0;16;114;52
64859;2023;125;11;4;14013;1;3;0;1;0;17;142;55
68854;2024;4997;32;0;0;0;0;0;0;0;0;0;0
70041;2023;87;12;3;10747;1;2;0;0;0;13;108;58
63497;2023;2199;54;5;17956;3;2;0;0;1;13;136;66
14019;2024;891;48;3;11100;3;0;0;0;0;6;83;72
14019;2023;891;48;2;7200;2;0;0;0;0;2;46;68
57179;2023;120;11;5;18239;4;1;0;0;0;16;136;59
57278;2023;108;11;3;10897;3;0;0;0;0;8;81;73
64835;2023;110;11;3;11100;3;0;0;0;0;6;97;76
69857;2023;104;12;3;10800;2;1;0;0;0;6;89;74
69962;2023;131;13;3;7796;0;2;0;0;0;12;86;50
15539;2024;618;16;5;14554;1;3;0;0;0;19;139;53
15539;2023;618;16;4;14754;1;3;0;1;0;13;150;73
79313;2023;4245;10;0;0;0;0;0;0;0;0;0;0
22541;2024;637;6;2;7569;0;0;2;0;0;6;50;60
80575;2023;142;13;4;13519;0;2;0;0;0;14;96;50
57805;2023;121;11;2;7200;2;0;0;0;0;4;60;72
64863;2023;127;11;2;7200;0;2;0;0;0;11;60;38
34262;2023;1920;128;2;4802;0;1;0;0;0;7;46;47
82744;2023;139;13;3;10019;1;2;0;0;0;15;86;42
245;2025;972;48;3;10800;2;1;0;0;0;7;80;68
245;2024;886;4;3;10736;1;2;0;0;1;8;87;68
245;2023;886;4;5;18423;2;2;1;0;0;14;167;76
1812;2025;829;7;3;10755;1;2;0;1;0;9;82;61
1812;2024;829;7;4;14700;0;3;1;0;0;14;131;55
11457;2025;619;16;4;14702;2;1;1;0;0;15;126;58
11457;2024;619;16;4;15345;1;1;2;0;1;11;131;69
11457;2023;619;16;5;17710;4;1;0;0;2;14;139;67
12001;2023;628;6;2;7500;2;0;0;0;1;2;56;84
13087;2023;612;16;1;3600;1;0;0;0;0;1;24;70
15311;2023;634;6;4;11223;0;3;0;0;0;10;94;56
18705;2025;584;59;3;10800;1;2;0;0;0;9;89;66
18705;2024;714;15;1;3900;1;0;0;0;0;2;36;97
18705;2023;714;15;2;7135;1;1;0;0;0;7;64;65
20797;2023;1838;6;1;3600;1;0;0;0;0;3;41;87
22914;2023;911;54;4;11236;1;2;0;1;0;12;108;54
29074;2024;796;8;0;0;0;0;0;0;0;0;0;0
31404;2023;169;33;1;1484;0;0;0;0;0;4;21;47
32622;2023;682;22;3;11175;2;1;0;0;1;4;69;74
32728;2023;4992;32;0;0;0;0;0;0;0;0;0;0
64;2023;31;0;4;10690;0;3;0;1;0;16;105;53
64;2024;31;0;5;14550;2;3;0;0;0;21;133;52
64;2025;31;0;5;15230;2;3;0;0;0;20;127;54
545;2023;19;0;4;14301;1;3;0;1;0;10;140;86
545;2024;19;0;3;10800;3;0;0;0;0;7;72;70
545;2025;19;0;3;10741;2;1;0;0;0;7;104;85
1916;2024;2193;5;2;7198;1;1;0;0;0;2;64;82
1916;2023;546;24;5;18242;5;0;0;0;1;6;118;76
2031;2025;879;4;4;13448;2;1;0;0;1;10;112;63
2031;2024;732;2;3;10770;2;1;0;0;1;4;62;75
2031;2023;732;2;3;10800;1;2;0;0;0;8;80;59
2204;2023;12;0;2;7126;0;2;0;1;0;9;65;60
2273;2023;33;0;3;10822;3;0;0;0;1;4;112;96
2332;2023;4837;1;1;3600;0;1;0;0;0;4;47;95
2564;2023;47;1;0;0;0;0;0;0;0;0;0;0
2812;2025;36;1;0;0;0;0;0;0;0;0;0;0
2812;2023;53;1;0;0;0;0;0;0;0;0;0;0
2855;2025;2256;128;2;7200;1;1;0;0;0;8;59;52
2855;2024;585;59;1;3600;1;0;0;0;0;1;24;82
5091;2025;628;6;4;14278;2;2;0;0;1;8;135;80
5091;2023;625;6;4;14348;3;1;0;1;0;6;108;73
5160;2023;46;1;0;0;0;0;0;0;0;0;0;0
5160;2024;46;1;1;940;0;0;0;0;0;0;5;55
9694;2025;637;6;0;0;0;0;0;0;0;0;0;0
9694;2024;637;6;3;10751;2;1;0;1;0;7;92;80
9694;2023;637;6;5;18300;4;0;1;0;1;8;118;74
9953;2025;1477;5;2;7454;1;1;0;0;0;6;54;61
9953;2024;1477;5;4;14345;3;1;0;0;1;5;98;78
9953;2023;1477;5;3;10686;0;3;0;0;0;9;91;66
10221;2025;546;24;4;14700;4;0;0;0;1;6;92;76
10221;2024;546;24;3;11100;2;1;0;0;0;7;79;70
10344;2025;846;66;3;11700;3;0;0;0;0;6;73;64
10344;2024;846;66;5;17747;3;1;1;1;0;10;96;55
10344;2023;846;66;4;14809;2;1;1;0;0;13;148;70
10400;2025;5004;22;3;10660;1;2;0;0;1;5;67;71
10400;2024;5004;22;1;3600;1;0;0;0;0;4;34;55
10400;2023;5004;22;3;10800;1;2;0;0;0;9;88;64
10623;2025;512;5;4;14400;2;2;0;0;0;10;90;59
10623;2024;742;2;3;10800;3;0;0;0;1;3;69;81
10623;2023;520;5;3;8334;0;2;0;0;0;6;104;75
10797;2025;705;15;4;14335;2;2;0;1;0;10;128;76
10797;2024;706;15;2;7200;2;0;0;0;0;6;73;80
10797;2023;474;22;4;11260;2;1;0;0;0;11;108;67
10825;2025;626;6;3;10800;2;1;0;0;0;6;75;66
10825;2024;568;3;2;7200;1;1;0;0;0;6;56;68
10825;2023;568;3;4;14671;3;1;0;1;0;9;118;75
11551;2024;841;66;3;11298;2;0;1;0;0;6;79;69
11551;2023;841;66;5;17920;3;2;0;0;1;9;146;77
11668;2025;844;7;4;12511;0;2;1;1;0;13;111;59
11668;2024;844;7;4;14425;3;1;0;0;1;5;121;84
11668;2023;844;7;2;7426;0;1;1;1;0;6;58;62
12218;2025;682;22;2;5261;1;0;0;0;0;2;29;62
12218;2024;682;22;0;0;0;0;0;0;0;0;0;0
12218;2023;682;22;3;11195;2;1;0;1;0;4;69;71
12463;2025;482;22;3;11220;3;0;0;0;0;8;100;76
12463;2024;482;22;0;0;0;0;0;0;0;0;0;0
12463;2023;482;22;0;0;0;0;0;0;0;0;0;0
13022;2025;611;16;4;14781;2;2;0;0;0;16;132;53
13022;2024;611;16;4;14546;4;0;0;0;2;2;92;85
13022;2023;611;16;5;18503;2;3;0;0;0;15;154;69
13182;2025;611;16;3;10731;2;1;0;0;0;7;97;72
13182;2024;611;16;3;10800;2;1;0;0;1;5;90;83
13182;2023;4534;16;5;17989;1;4;0;0;0;18;170;59
13315;2024;4961;247;2;2039;0;2;0;0;0;8;31;25
13315;2023;1453;247;1;2461;0;1;0;0;0;6;31;30
14044;2025;875;4;6;19976;0;6;0;2;0;25;202;60
14044;2023;28;0;6;16619;2;1;1;1;0;18;187;71
14044;2023;39;1;1;3600;0;1;0;0;0;4;28;48
14044;2024;39;1;0;0;0;0;0;0;0;0;0;0
14316;2024;776;8;1;3600;0;1;0;0;0;5;53;72
14870;2025;711;15;3;10800;3;0;0;0;0;4;61;73
14870;2024;711;15;3;11100;2;0;1;0;0;5;64;65
14870;2023;711;15;3;10800;2;1;0;0;1;8;84;71
15417;2025;578;3;3;11079;2;1;0;0;0;7;113;86
15417;2024;578;3;3;10710;1;2;0;0;0;6;92;72
15417;2023;578;3;3;7792;2;0;0;0;0;3;55;67
15959;2025;1871;83;4;14324;2;2;0;0;1;11;129;70
15959;2024;1871;83;2;7200;1;1;0;0;0;10;71;62
15959;2023;1871;83;3;10765;1;2;0;0;0;11;96;63
16000;2023;49;1;0;0;0;0;0;0;0;0;0;0
16312;2025;523;83;4;14681;3;1;0;0;1;5;112;85
16312;2024;523;5;2;7177;0;2;0;0;0;5;82;78
16312;2023;2193;5;3;10800;3;0;0;0;0;4;75;75
17608;2025;3737;8;3;9912;1;1;1;0;0;10;117;71
17608;2024;3737;8;4;11998;3;1;0;0;0;7;104;71
17608;2023;3737;8;5;18223;2;3;0;0;0;12;149;72
18314;2025;546;24;3;10762;2;1;0;0;1;7;88;73
18314;2024;546;24;3;10763;2;1;0;0;1;7;82;73
18403;2024;4636;23;1;3600;1;0;0;0;0;1;15;65
18403;2023;4636;23;4;14400;3;1;0;0;1;9;85;64
19719;2024;879;4;3;10784;1;2;0;0;0;11;108;72
19719;2023;978;48;3;10720;1;2;0;0;0;10;89;57
19935;2025;893;4;3;10979;1;2;0;0;0;8;100;77
19935;2024;893;4;4;13884;3;1;0;0;1;9;99;67
19935;2023;893;4;4;14389;1;2;1;1;0;13;141;68
19958;2025;558;9;1;3600;0;1;0;0;0;2;34;79
