PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
96317;1972;3703;1;23;78660;0;0;0;0;0;72;0;0
96317;1974;3727;1;28;95760;0;0;0;0;0;118;901;0
96317;1974;22;0;8;24000;0;7;0;0;0;46;275;0
96317;1972;5;0;14;46800;9;3;1;0;1;39;415;0
96330;1954;200;14;23;78660;0;0;0;0;0;155;775;0
96330;1957;0;0;1;2040;0;1;0;0;0;6;18;0
96332;1934;10;0;10;36600;3;7;0;0;1;37;0;0
96332;1933;10;0;48;179400;21;19;8;0;7;113;0;0
96332;1932;10;0;48;178200;23;17;8;0;3;107;0;0
96359;1946;3711;1;64;218880;0;0;0;0;0;204;0;0
96359;1953;3705;1;9;30780;0;0;0;0;0;43;0;0
96359;1952;3729;1;53;181260;0;0;0;0;0;189;0;0
96359;1951;3729;1;68;232560;0;0;0;0;0;247;0;0
96359;1950;3729;1;70;239400;0;0;0;0;0;234;0;0
96359;1949;3729;1;55;188100;0;0;0;0;0;173;0;0
96359;1948;3729;1;66;225720;0;0;0;0;0;181;0;0
96359;1947;3711;1;65;222300;0;0;0;0;0;234;0;0
96359;1952;9;0;1;3600;0;0;1;0;0;3;0;0
96359;1950;8;0;1;3600;0;1;0;0;0;5;0;0
96359;1946;9;0;1;3600;0;1;0;0;0;5;0;0
96375;1951;10;0;3;10800;1;2;0;0;0;18;0;0
96409;1971;140;13;35;119700;0;0;0;0;0;149;1263;0
96409;1971;3696;13;7;23940;0;0;0;0;0;62;300;0
96409;1970;3696;13;27;92340;0;0;0;0;0;114;1018;0
96409;1969;3696;13;29;99180;0;0;0;0;0;146;936;0
96409;1973;1212;72;5;15780;1;4;0;0;0;27;183;0
96409;1972;1212;72;6;15600;1;3;0;0;0;17;122;0
96439;1992;185;14;25;85500;0;0;0;0;0;144;906;0
96439;1993;185;14;27;92340;0;0;0;0;0;106;707;0
96439;1994;185;14;26;88920;0;0;0;0;0;129;928;0
96439;1995;185;14;26;88920;0;0;0;0;0;75;862;0
96439;1996;42;1;40;136800;0;0;0;0;0;143;0;0
96439;2005;567;3;16;54720;0;0;0;0;0;37;0;0
96439;2005;564;3;21;71820;0;0;0;0;0;49;0;0
96439;2007;560;9;29;99180;0;0;0;0;0;59;756;0
96439;2004;39;1;20;68400;0;0;0;0;0;47;573;0
96439;2003;39;1;21;71820;0;0;0;0;0;45;556;0
96439;2002;39;1;16;54720;0;0;0;0;0;50;459;0
96439;2001;39;1;34;116280;0;0;0;0;0;81;0;0
96439;2000;39;1;29;99180;0;0;0;0;0;70;0;0
96439;1998;42;1;53;181260;0;0;0;0;0;137;1671;0
96439;1997;42;1;32;109440;0;0;0;0;0;108;1038;0
96439;1998;30;0;0;0;0;0;0;0;0;0;0;0
96439;1997;30;0;7;16380;0;1;2;2;0;12;113;0
96444;1980;21;0;30;98520;6;15;6;3;0;103;0;0
96444;1979;21;0;49;154440;9;27;6;3;0;161;0;0
96444;1977;10;0;4;14400;2;2;0;0;0;14;0;0
96451;1997;36;1;8;27360;0;0;0;0;0;31;0;0
96451;1996;138;13;4;13680;0;0;0;0;0;7;100;0
96451;1996;142;13;23;78660;0;0;0;0;0;72;847;0
96451;1996;139;13;11;37620;0;0;0;0;0;48;432;0
96451;1995;138;13;40;136800;0;0;0;0;0;135;1195;0
96451;1994;138;13;27;92340;0;0;0;0;0;86;768;0
96451;1997;1514;10;21;71820;0;0;0;0;0;60;674;0
96451;2014;612;16;22;75240;0;0;0;0;0;50;658;0
96451;2011;633;6;16;54720;0;0;0;0;0;55;458;0
96451;2010;633;6;48;164160;0;0;0;0;0;128;1280;0
96451;2009;633;6;54;184680;0;0;0;0;0;126;1615;0
96451;2008;57;1;23;78660;0;0;0;0;0;73;0;0
96451;2007;58;1;11;37620;0;0;0;0;0;17;274;0
96451;2007;49;1;1;3600;0;0;0;0;0;28;0;0
96451;2005;63;1;46;157320;0;0;0;0;0;133;0;0
96451;2004;63;1;23;78660;0;0;0;0;0;63;797;0
96451;2003;59;1;13;44460;0;0;0;0;0;34;343;0
96451;2002;59;1;16;54720;0;0;0;0;0;29;460;0
96451;1999;59;1;11;37620;0;0;0;0;0;45;346;0
96451;2007;11;0;19;49680;5;6;1;3;0;44;385;0
96451;2006;3;0;20;48240;3;5;2;1;0;46;371;0
96451;2005;3;0;11;40620;9;0;2;0;1;25;330;0
96451;2003;15;0;22;64020;7;9;0;4;1;53;574;0
96451;2002;15;0;21;67920;6;13;0;3;1;59;589;0
96451;2001;15;0;21;65640;3;12;1;3;0;65;537;0
96451;2000;15;0;36;123000;20;14;1;5;0;107;973;0
96451;1999;15;0;51;167340;23;21;3;3;2;120;1392;0
96451;1998;15;0;17;45360;4;3;6;0;2;28;304;0
96455;1976;1200;72;21;46140;6;5;0;2;1;51;369;0
96455;1975;1202;72;12;32940;6;4;0;0;1;38;267;0
96455;1974;1200;72;31;105720;17;11;0;0;0;109;959;0
96455;1973;1200;72;26;83700;11;11;2;1;1;90;751;0
96455;1972;1200;72;52;182160;25;22;3;0;1;182;1781;0
96462;2001;37;1;21;71820;0;0;0;0;0;70;588;0
96462;2000;124;11;40;136800;0;0;0;0;0;96;1263;0
96462;1999;124;11;55;188100;0;0;0;0;0;172;1737;0
96462;1998;124;11;37;126540;0;0;0;0;0;118;1283;0
96462;1997;124;11;6;20520;0;0;0;0;0;28;248;0
96462;2001;1512;10;6;20520;0;0;0;0;0;11;151;0
96462;2007;48;1;2;7200;0;0;0;0;0;5;53;0
96462;2004;37;1;50;171000;0;0;0;0;0;122;1341;0
96462;2003;37;1;40;136800;0;0;0;0;0;97;1141;0
96462;2002;37;1;37;126540;0;0;0;0;0;93;1011;0
96462;2012;472;22;16;54720;0;0;0;0;0;50;463;0
96462;2011;28;0;14;38700;2;4;2;1;0;36;310;0
96462;2010;0;0;16;44940;6;2;2;1;0;33;383;0
96462;2009;10;0;3;7140;0;1;0;0;0;5;52;0
96462;2009;12;0;21;70860;9;6;3;1;0;59;558;0
96462;2008;28;0;43;146940;16;18;7;7;1;101;1141;0
96462;2007;5;0;23;72780;9;7;5;3;2;47;578;0
96462;2007;26;0;9;30540;3;6;0;2;1;30;249;0
96462;2006;31;0;27;88260;7;13;5;5;1;82;729;0
96462;2005;18;0;67;231540;33;26;6;3;0;189;1938;0
96462;2003;18;0;6;20940;2;2;2;0;0;12;168;0
96462;2002;18;0;7;22920;3;3;0;0;1;10;165;0
96462;2001;18;0;1;3600;1;0;0;0;0;2;22;0
96476;1992;211;14;4;13680;0;0;0;0;0;10;100;0
96476;1993;211;14;30;102600;0;0;0;0;0;104;813;0
96476;1994;211;14;27;92340;0;0;0;0;0;84;840;0
96476;1995;211;14;23;78660;0;0;0;0;0;59;567;0
96476;1996;48;1;13;44460;0;0;0;0;0;48;429;0
96476;1996;73;10;20;68400;0;0;0;0;0;72;610;0
96476;2000;45;1;30;102600;0;0;0;0;0;87;978;0
96476;1999;45;1;11;37620;0;0;0;0;0;34;327;0
96476;1999;59;1;28;95760;0;0;0;0;0;100;0;0
96476;1998;11;0;3;6480;0;3;0;0;0;8;66;0
96486;1993;38;1;7;23940;0;0;0;0;0;25;0;0
96486;1999;573;3;6;20520;0;0;0;0;0;29;147;0
96486;2000;1511;10;29;99180;0;0;0;0;0;87;989;0
96486;1999;1511;10;31;106020;0;0;0;0;0;95;1118;0
96486;1993;1511;10;36;123120;0;0;0;0;0;122;0;0
96486;1992;75;10;36;123120;0;0;0;0;0;131;0;0
96486;1991;106;12;65;222300;0;0;0;0;0;201;0;0
96486;1990;106;12;46;157320;0;0;0;0;0;162;0;0
96486;1989;87;12;2;7200;0;0;0;0;0;25;0;0
96486;1999;40;1;4;13680;0;0;0;0;0;19;114;0
96486;1996;38;1;31;106020;0;0;0;0;0;114;958;0
96486;1995;38;1;37;126540;0;0;0;0;0;115;1139;0
96486;1994;38;1;52;177840;0;0;0;0;0;148;1480;0
96486;1996;5;0;8;23640;1;5;0;2;0;24;181;0
96486;1995;5;0;11;34260;5;1;2;0;0;31;264;0
96490;1909;9999;0;2;7200;0;2;0;0;0;26;0;0
96495;1978;56;1;24;82080;0;0;0;0;0;78;678;0
96495;1983;53;1;6;20520;0;0;0;0;0;35;0;0
96495;1983;40;1;13;44460;0;0;0;0;0;41;0;0
96495;1981;61;1;11;37620;0;0;0;0;0;52;0;0
96495;1980;56;1;25;85500;0;0;0;0;0;85;0;0
96495;1979;56;1;9;30780;0;0;0;0;0;30;275;0
96495;1982;10;0;3;6120;0;1;0;2;0;5;44;0
96495;1981;10;0;6;19680;1;5;0;0;0;33;161;0
96495;1980;10;0;21;75600;10;6;5;2;2;73;609;0
96495;1979;10;0;27;83460;9;8;6;1;1;79;667;0
96501;1989;185;14;21;71820;0;0;0;0;0;102;510;0
96501;1990;185;14;39;133380;0;0;0;0;0;187;935;0
96501;1991;185;14;36;123120;0;0;0;0;0;179;895;0
96501;1992;38;1;44;150480;0;0;0;0;0;176;1375;0
96501;2003;893;4;23;78660;0;0;0;0;0;64;634;0
96501;2009;629;6;33;112860;0;0;0;0;0;96;950;0
96501;2008;629;6;32;109440;0;0;0;0;0;101;849;0
96501;2007;629;6;47;160740;0;0;0;0;0;154;1467;0
96501;2006;629;6;45;153900;0;0;0;0;0;145;1381;0
96501;2002;626;6;23;78660;0;0;0;0;0;57;713;0
96501;1997;39;1;39;133380;0;0;0;0;0;127;0;0
96501;1996;42;1;46;157320;0;0;0;0;0;134;1327;0
96501;1995;56;1;2;7200;0;0;0;0;0;11;62;0
96501;1994;56;1;45;153900;0;0;0;0;0;155;0;0
96501;1993;38;1;33;112860;0;0;0;0;0;139;0;0
96501;1996;28;0;1;3120;0;1;0;0;0;4;18;0
96501;1995;28;0;20;62400;2;14;1;1;0;72;560;0
96501;1994;28;0;1;180;0;0;0;0;0;0;1;0
96501;1992;5;0;1;1500;0;0;0;1;0;1;10;0
96514;1978;63;1;47;160740;0;0;0;0;0;159;1336;0
96514;1987;58;1;41;140220;0;0;0;0;0;190;0;0
96514;1979;63;1;61;208620;0;0;0;0;0;192;0;0
96514;1986;8;0;39;123540;9;18;8;2;0;142;1122;0
96514;1985;8;0;48;161340;20;19;6;2;1;201;1538;0
96514;1984;8;0;60;202260;27;25;4;3;0;215;1847;0
96514;1983;8;0;56;200100;23;29;4;4;2;188;1667;0
96514;1982;8;0;41;147600;24;12;5;2;4;127;1283;0
96514;1981;8;0;29;100260;11;12;4;2;1;116;871;0
96514;1980;8;0;15;51900;2;10;2;2;0;62;461;0
96514;1977;18;0;1;1200;0;0;0;0;0;0;7;0
96530;1984;23;0;1;1980;0;1;0;0;0;2;9;0
96530;1983;11;0;21;72660;3;14;4;5;0;87;633;0
96530;1982;5;0;9;30960;6;3;0;1;0;33;233;0
96530;1981;5;0;44;150900;22;16;4;3;1;144;1068;0
96530;1980;5;0;10;30420;3;4;1;1;0;24;205;0
96530;1979;5;0;1;2400;0;0;0;0;0;2;13;0
96534;1984;39;1;5;17100;0;0;0;0;0;6;94;0
96534;2002;16;0;6;17580;1;4;0;0;1;16;132;0
96534;2001;3;0;4;13140;2;2;0;0;0;10;110;0
96534;2001;24;0;34;114480;13;12;5;2;2;83;886;0
96534;1999;28;0;7;25080;3;4;0;0;0;22;182;0
96534;1999;15;0;18;52200;5;7;2;2;1;46;386;0
96534;1998;15;0;43;138360;19;16;3;4;4;98;993;0
96534;1997;15;0;63;212520;31;14;13;8;7;122;1556;0
96534;1996;15;0;5;16200;0;5;0;1;0;26;186;0
96534;1995;15;0;49;167940;29;16;2;5;2;160;1626;0
96534;1994;15;0;2;7500;0;1;1;0;0;8;75;0
96534;1993;15;0;44;148920;22;15;5;2;2;139;1304;0
96534;1992;15;0;63;222120;43;14;5;2;4;186;1885;0
96534;1991;15;0;57;199740;25;22;9;2;1;196;1702;0
96534;1990;15;0;48;165240;27;16;3;2;1;165;1579;0
96534;1989;15;0;24;77640;7;12;3;2;0;101;748;0
96534;1988;15;0;44;144360;18;15;7;4;0;162;1445;0
96534;1988;17;0;10;32700;2;7;0;1;0;45;285;0
96534;1987;17;0;54;187980;25;18;8;1;2;173;1658;0
96534;1986;17;0;46;150060;17;23;2;4;2;152;1202;0
96534;1985;17;0;60;213660;29;24;5;5;2;214;1778;0
96534;1984;17;0;54;194880;25;18;10;4;5;144;1274;0
96534;1983;17;0;42;148500;26;12;3;2;2;117;1098;0
96548;1954;3705;1;37;126540;0;0;0;0;0;115;0;0
96548;1966;3726;1;10;34200;0;0;0;0;0;18;0;0
96548;1964;3726;1;57;194940;0;0;0;0;0;172;0;0
96548;1963;3726;1;26;88920;0;0;0;0;0;78;0;0
96548;1962;3726;1;40;136800;0;0;0;0;0;127;0;0
96548;1958;61;1;29;99180;0;0;0;0;0;97;0;0
96548;1955;3705;1;53;181260;0;0;0;0;0;191;0;0
96548;1967;15;0;25;77940;7;10;3;2;1;62;685;0
96548;1966;9;0;8;23040;2;4;0;0;0;22;215;0
96548;1965;9;0;11;24360;3;3;0;1;0;17;177;0
96548;1963;9;0;1;3600;0;1;0;0;0;4;34;0
96548;1962;9;0;16;57600;6;5;5;0;0;53;506;0
96548;1961;9;0;27;97200;9;12;6;0;3;76;768;0
96548;1960;9;0;35;123000;13;13;8;0;0;102;944;0
96548;1955;8;0;12;43200;2;9;1;0;1;42;348;0
96548;1954;8;0;21;75600;4;9;8;0;0;63;0;0
96549;1945;3726;1;38;129960;0;0;0;0;0;137;0;0
96549;1948;3726;1;68;232560;0;0;0;0;0;166;0;0
96549;1947;3726;1;68;232560;0;0;0;0;0;162;0;0
96549;1946;3726;1;40;136800;0;0;0;0;0;99;0;0
96549;1945;3;0;5;18000;0;4;1;0;0;20;0;0
96561;1968;12;0;7;18240;0;4;1;0;0;22;165;0
96561;1967;12;0;26;77640;5;13;5;0;0;75;656;0
96561;1966;0;0;2;7200;1;1;0;0;0;5;57;0
96579;1988;58;1;30;102600;0;0;0;0;0;102;857;0
96579;1996;63;1;47;160740;0;0;0;0;0;131;1284;0
96579;1991;58;1;3;10800;0;0;0;0;0;9;67;0
96579;1990;58;1;2;7200;0;0;0;0;0;3;0;0
96579;1996;3;0;3;6600;0;3;0;1;0;10;60;0
96579;1995;3;0;8;20160;0;5;0;1;0;26;170;0
96579;1995;28;0;33;106200;6;23;0;9;1;110;892;0
96579;1994;28;0;38;129660;8;25;3;3;1;121;1167;0
96579;1993;22;0;53;171180;24;16;8;3;2;135;1122;0
96579;1992;22;0;58;196920;27;23;5;7;1;181;1530;0
96579;1991;22;0;54;186480;29;17;6;2;1;166;1435;0
96579;1990;22;0;45;154320;20;18;3;3;5;113;1095;0
96579;1989;22;0;48;167580;23;18;5;3;2;150;1362;0
96579;1988;22;0;11;34680;5;4;0;1;1;28;269;0
96579;1988;12;0;1;3540;0;1;0;1;0;3;26;0
96579;1987;12;0;43;137280;10;22;3;1;0;161;1257;0
96579;1986;12;0;47;157320;17;20;6;4;1;174;1439;0
96579;1985;12;0;52;184380;25;20;6;2;1;182;1690;0
96579;1984;12;0;31;106200;10;17;3;3;1;109;934;0
96579;1983;12;0;33;107460;16;13;2;2;0;123;971;0
96579;1982;12;0;36;120660;19;10;5;2;0;120;1048;0
96579;1981;12;0;29;98040;11;8;9;3;0;101;906;0
96579;1980;12;0;44;155100;18;14;11;4;0;138;1309;0
96580;1993;26;0;13;25080;0;4;1;0;0;34;211;0
96580;1992;14;0;16;48120;3;9;0;1;0;59;405;0
96580;1991;26;0;26;76020;6;8;6;1;2;61;611;0
96580;1990;26;0;16;50160;3;10;1;0;0;55;423;0
96580;1989;26;0;19;64740;7;8;3;4;0;59;570;0
96583;2003;110;11;9;30780;0;0;0;0;0;29;259;0
96583;2003;109;11;40;136800;0;0;0;0;0;124;1393;0
96583;2002;110;11;54;184680;0;0;0;0;0;161;1491;0
96583;2001;110;11;7;23940;0;0;0;0;0;22;220;0
96583;2001;119;11;5;17100;0;0;0;0;0;22;121;0
96583;2010;75;10;5;17100;0;0;0;0;0;8;133;0
96583;2010;1532;10;8;27360;0;0;0;0;0;37;220;0
96583;2009;74;10;38;129960;0;0;0;0;0;115;1186;0
96583;2008;1528;10;11;37620;0;0;0;0;0;53;387;0
96583;2008;74;10;1;3600;0;0;0;0;0;5;35;0
96583;2007;78;10;16;54720;0;0;0;0;0;36;468;0
96583;2006;78;10;7;23940;0;0;0;0;0;8;160;0
96583;2005;78;10;19;64980;0;0;0;0;0;34;479;0
96583;2004;61;1;1;1200;0;0;0;0;0;0;10;0
96583;2009;39;1;6;20520;0;0;0;0;0;27;206;0
96583;2008;39;1;22;75240;0;0;0;0;0;82;621;0
96583;2007;61;1;34;116280;0;0;0;0;0;85;0;0
96583;2006;61;1;29;99180;0;0;0;0;0;75;750;0
96583;2005;61;1;16;54720;0;0;0;0;0;47;0;0
96583;2007;16;0;1;1620;0;0;0;0;0;1;9;0
96585;1993;584;59;37;0;0;0;0;0;0;0;0;0
96585;1991;1957;59;40;138660;0;0;0;0;0;161;1309;0
96585;1990;1957;59;34;122400;0;0;0;0;0;108;1146;0
96585;1989;1957;59;31;111600;0;0;0;0;1;122;846;0
96585;1988;565;3;31;111600;11;16;2;0;1;123;911;0
96585;1987;565;59;36;129600;0;0;0;0;0;86;929;0
96585;1986;584;59;34;122400;0;0;0;0;0;80;1023;0
96585;1985;584;59;43;154800;31;0;0;0;0;127;1286;0
96585;1984;584;59;43;154800;23;0;0;0;0;139;1308;0
96585;1983;584;59;35;0;14;0;0;0;0;0;0;0
96585;1982;1934;59;11;39600;0;0;0;0;0;44;336;0
96585;1981;574;3;29;104400;19;5;5;0;2;95;692;0
96585;1980;574;3;29;104400;20;6;2;0;1;112;758;0
96585;1979;1320;74;16;51480;0;0;0;0;0;55;0;0
96585;1979;1238;73;3;0;0;0;0;0;0;0;0;0
96585;1979;39;1;6;0;0;0;0;0;0;0;0;0
96585;1979;1218;73;8;0;0;0;0;0;0;0;0;0
96585;1979;65;1;2;0;0;0;0;0;0;0;0;0
96585;1978;65;1;26;0;0;0;0;0;0;0;0;0
96585;1978;22;0;30;104400;6;17;6;1;0;126;918;0
96585;1977;65;1;14;0;0;0;0;0;0;0;0;0
96585;1977;22;0;43;149520;11;23;7;4;1;152;1254;0
96585;1976;1320;74;48;161580;0;0;0;0;0;168;0;0
96592;1980;220;14;16;54720;0;0;0;0;0;50;549;0
96592;1981;220;14;25;85500;0;0;0;0;0;62;674;0
96592;1982;220;14;19;64980;0;0;0;0;0;40;500;0
96592;1984;51;1;7;23940;0;0;0;0;0;23;0;0
96592;1986;51;1;19;64980;0;0;0;0;0;60;0;0
96592;1985;51;1;35;119700;0;0;0;0;0;130;0;0
96592;1985;26;0;9;25320;2;5;0;1;0;41;220;0
96592;1984;26;0;24;73080;8;10;3;1;1;93;624;0
96592;1983;26;0;6;21060;2;4;0;0;0;32;184;0
96602;1979;5;0;8;19680;2;0;3;0;0;19;132;0
96602;1978;19;0;5;10920;1;2;0;0;0;21;78;0
96602;1977;19;0;17;56220;7;8;0;1;1;55;0;0
96602;1977;16;0;3;8640;0;3;0;0;0;15;518;0
96602;1976;16;0;3;8400;2;0;0;0;0;7;56;0
96602;1975;16;0;31;105780;11;17;1;2;0;113;971;0
96602;1974;16;0;11;38400;6;3;2;0;1;29;293;0
96603;1986;218;14;34;116280;0;0;0;0;0;78;918;0
96603;2007;893;48;20;68400;0;0;0;0;0;34;430;0
96603;2006;31;0;58;197340;27;17;10;2;1;152;1550;0
96603;2005;3;0;49;173820;22;22;4;2;0;159;1476;0
96603;2003;3;0;59;206640;34;19;6;2;10;122;1483;0
96603;2002;3;0;62;224280;37;20;5;4;7;141;1816;0
96603;2001;12;0;60;208020;21;27;11;3;1;153;1458;0
96603;2000;12;0;63;221220;35;20;7;2;8;144;1508;0
96603;1999;12;0;62;217200;32;21;7;6;4;127;1571;0
96603;1998;12;0;61;212160;35;15;9;0;5;117;1373;0
96603;1997;12;0;61;214860;37;12;10;1;9;112;1335;0
96603;1996;27;0;13;45420;3;9;0;1;1;43;371;0
96603;1996;8;0;33;117960;11;15;6;4;1;88;946;0
96603;1995;8;0;50;177360;22;17;10;3;1;135;1373;0
96603;1994;8;0;42;147000;22;15;3;4;5;93;990;0
96603;1993;8;0;70;239880;37;24;6;0;7;178;1892;0
96603;1992;8;0;71;246360;41;18;11;1;7;177;1880;0
96603;1991;8;0;52;175680;21;18;10;4;5;132;1241;0
96603;1990;8;0;74;247620;43;19;7;3;4;170;1883;0
96603;1989;8;0;0;0;0;0;0;0;0;0;0;0
96603;1988;8;0;23;68880;4;12;3;1;0;74;605;0
96604;1969;3727;1;2;7200;0;0;0;0;0;12;0;0
96604;1975;3727;1;45;153900;0;0;0;0;0;152;0;0
96604;1973;3727;1;45;153900;0;0;0;0;0;179;0;0
96604;1972;3727;1;12;41040;0;0;0;0;0;50;0;0
96604;1971;3727;1;45;153900;0;0;0;0;0;118;0;0
96604;1970;3727;1;37;126540;0;0;0;0;0;111;0;0
96604;1975;22;0;7;22620;0;5;1;1;0;32;229;0
96604;1974;22;0;35;108720;0;24;3;1;0;162;1165;0
96604;1972;14;0;23;67020;9;7;3;0;0;60;617;0
96615;1942;3705;1;52;177840;0;0;0;0;0;115;0;0
96615;1955;61;1;11;37620;0;0;0;0;0;54;0;0
96615;1954;61;1;10;34200;0;0;0;0;0;45;0;0
96615;1953;61;1;49;167580;0;0;0;0;0;167;0;0
96615;1952;61;1;64;218880;0;0;0;0;0;188;0;0
96615;1951;61;1;63;215460;0;0;0;0;0;229;0;0
96615;1950;3705;1;7;23940;0;0;0;0;0;22;0;0
96615;1950;61;1;51;174420;0;0;0;0;0;173;0;0
96615;1949;3705;1;36;123120;0;0;0;0;0;108;0;0
96615;1948;61;1;4;13680;0;0;0;0;0;15;0;0
96615;1947;3707;1;64;218880;0;0;0;0;0;316;0;0
96615;1946;3726;1;23;78660;0;0;0;0;0;76;0;0
96615;1945;53;1;37;126540;0;0;0;0;0;144;0;0
96615;1955;10;0;0;0;0;0;0;0;0;0;0;0
96615;1945;3;0;8;28800;3;5;0;0;0;31;0;0
96620;1929;6;0;14;45120;6;6;1;0;0;38;0;0
96620;1928;6;0;37;138000;14;16;7;0;11;57;0;0
96620;1927;6;0;44;161400;24;14;6;0;6;76;0;0
96620;1926;6;0;43;164880;20;19;4;0;13;65;0;0
96620;1925;6;0;36;137280;20;11;5;0;6;73;0;0
96620;1924;6;0;30;110580;9;19;2;0;2;65;0;0
96620;1923;2;0;22;81360;15;7;0;0;3;45;0;0
96620;1922;2;0;24;89160;14;9;1;0;4;54;0;0
96620;1921;2;0;24;90600;14;8;2;0;2;84;0;0
96620;1920;2;0;24;87720;14;10;0;0;2;75;0;0
96620;1919;2;0;24;86580;19;5;0;0;5;64;0;0
96620;1918;2;0;18;69120;12;6;0;0;2;53;0;0
96620;1917;2;0;22;80220;9;13;0;0;1;114;0;0
96620;1916;2;149;18;65760;14;4;0;0;1;50;0;0
96620;1915;2;149;24;86820;13;11;0;0;2;72;0;0
96620;1914;2;149;20;73200;14;6;0;0;0;64;0;0
96620;1913;2;149;9;28440;5;3;0;0;0;29;0;0
96620;1912;2;149;4;12900;2;1;0;0;1;11;0;0
96626;1946;65;1;60;205200;0;0;0;0;0;153;0;0
96626;1958;53;1;10;34200;0;0;0;0;0;37;0;0
96626;1957;53;1;1;3600;0;0;0;0;0;2;0;0
96626;1956;53;1;7;23940;0;0;0;0;0;28;0;0
96626;1955;53;1;3;10800;0;0;0;0;0;16;0;0
96626;1954;53;1;48;164160;0;0;0;0;0;182;0;0
96626;1953;53;1;59;201780;0;0;0;0;0;219;0;0
96626;1952;53;1;58;198360;0;0;0;0;0;210;0;0
96626;1951;53;1;47;160740;0;0;0;0;0;154;0;0
96626;1950;53;1;57;194940;0;0;0;0;0;184;0;0
96626;1949;53;1;60;205200;0;0;0;0;0;208;0;0
96626;1948;53;1;67;229140;0;0;0;0;0;201;0;0
96626;1947;53;1;63;215460;0;0;0;0;0;230;0;0
96626;1944;5;0;25;88200;10;12;2;0;0;103;0;0
96654;1988;51;1;5;17100;0;0;0;0;0;17;0;0
96654;1988;130;13;44;150480;0;0;0;0;0;206;1689;0
96654;1987;130;13;49;167580;0;0;0;0;0;273;2022;0
96654;1986;130;13;41;140220;0;0;0;0;0;251;1521;0
96654;1986;134;13;11;37620;0;0;0;0;0;52;280;0
96654;1985;134;13;33;112860;0;0;0;0;0;163;1012;0
96654;1991;51;1;13;44460;0;0;0;0;0;53;0;0
