PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
805;835;835;12;726;6;5;1;324;292;32;2.64;1;.901;67
213957;457;457;1;13;0;0;0;10;9;1;4.42;0;.900;54
203478;457;457;3;166;2;1;0;81;67;14;5.05;0;.827;41
172079;4337;4337;1;60;0;1;0;23;19;4;4.00;0;.826;51
5565;2488;837;7;409;3;4;0;214;184;30;4.40;0;.860;53
167492;458;458;2;120;1;1;0;65;57;8;4.00;0;.877;57
204272;750;750;3;179;0;3;0;89;77;12;4.01;0;.865;50
193870;4535;4535;1;60;1;0;0;23;22;1;1.00;0;.957;76
11500;472;472;1;50;0;0;0;19;17;2;2.37;0;.895;53
188815;762;762;2;119;1;1;0;55;49;6;3.01;0;.891;66
-1;2517;2517;11;681;6;4;1;367;336;31;2.73;1;.916;70
24593;676;676;1;60;0;1;0;35;31;4;4.00;0;.886;67
174898;1503;1503;2;120;2;0;0;50;48;2;1.00;0;.960;82
206474;2493;2493;1;5;0;0;0;2;2;0;0.00;0;1.000;50
179406;4923;4923;3;191;1;2;0;83;78;5;1.56;0;.940;72
211690;2493;2493;6;358;2;3;1;153;136;17;2.84;1;.889;57
179652;452;452;1;12;0;0;0;4;4;0;0.00;0;1.000;55
-1;841;841;1;40;0;0;0;26;21;5;7.36;0;.808;35
180154;775;775;2;119;1;1;0;42;37;5;2.52;0;.881;54
180177;768;768;3;180;3;0;0;48;45;3;1.00;1;.938;69
180311;841;841;6;317;2;4;0;171;153;18;3.41;1;.895;69
201947;746;746;2;120;1;0;1;69;61;8;3.98;0;.884;69
202193;452;452;1;47;0;1;0;24;18;6;7.66;0;.750;22
-1;480;480;1;60;1;0;0;29;27;2;2.00;0;.931;77
186234;911;911;1;13;0;0;0;10;9;1;4.31;0;.900;51
202839;767;767;3;180;3;0;0;91;85;6;2.00;0;.934;79
-1;769;769;2;120;1;1;0;65;57;8;3.98;0;.877;56
-1;845;845;11;670;7;4;0;319;291;28;2.51;1;.912;68
71297;472;472;1;9;0;1;0;10;7;3;19.25;0;.700;30
73098;2488;2488;1;9;0;0;0;1;1;0;0.00;0;1.000;50
78223;843;839;11;685;7;4;0;325;295;30;2.63;0;.908;69
86343;2199;2199;2;145;0;1;1;64;59;5;2.06;0;.922;74
92283;456;456;2;120;2;0;0;62;56;6;3.00;0;.903;69
93756;759;759;3;184;3;0;0;55;50;5;1.63;1;.909;67
142810;3913;3913;2;146;2;0;0;71;68;3;1.23;0;.958;81
145463;772;772;3;179;0;3;0;113;103;10;3.35;0;.912;67
148904;4924;4924;3;192;2;0;1;85;81;4;1.24;0;.953;76
149048;911;911;3;170;0;2;1;111;97;14;4.93;0;.874;53
149191;774;774;2;119;0;2;0;51;44;7;3.52;0;.863;48
152266;844;844;6;369;2;3;1;182;165;17;2.76;0;.907;64
155769;455;455;1;60;0;1;0;37;31;6;6.00;0;.838;38
