PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
197940;100;100;3;180;2;1;0;67;59;8;2.67;0;.881;58
65;11;11;5;279;0;4;0;167;146;21;4.50;0;.874;55
67;11;11;3;149;1;1;1;85;78;7;2.81;0;.918;68
83;737;737;4;240;4;0;0;120;116;4;1.00;1;.967;89
166545;193;193;2;120;2;0;0;36;33;3;1.50;1;.917;66
192718;103;103;4;244;2;2;0;108;97;11;2.70;0;.898;61
320;580;564;4;238;2;2;0;134;126;8;2.01;1;.940;78
359;774;774;5;290;3;2;0;140;124;16;3.30;0;.886;58
192733;99;99;3;179;1;2;0;108;99;9;3.01;0;.917;72
192739;92;92;3;180;0;2;1;99;90;9;3.00;0;.909;68
483;586;586;4;239;1;3;0;117;104;13;3.26;0;.889;59
504;3730;3730;4;228;1;3;0;143;128;15;3.94;0;.895;64
556;3;3;4;254;1;1;2;140;127;13;3.07;0;.907;70
584;3923;3923;5;256;2;2;0;181;166;15;3.51;0;.917;73
595;3913;3913;5;278;2;3;0;179;168;11;2.37;1;.939;75
676;34;34;5;263;3;1;0;133;124;9;2.05;1;.932;72
166591;20;20;3;181;3;0;0;81;76;5;1.65;0;.938;74
779;882;882;2;118;1;1;0;41;36;5;2.53;0;.878;62
805;832;832;2;77;0;1;0;42;39;3;2.31;0;.929;72
883;707;707;4;226;1;3;0;138;126;12;3.18;0;.913;69
161540;716;716;2;112;1;0;0;42;38;4;2.13;0;.905;60
171835;4960;4960;4;242;3;1;0;92;87;5;1.24;2;.946;77
171838;31;31;3;179;1;2;0;95;88;7;2.34;0;.926;72
192776;119;119;5;266;2;2;0;129;111;18;4.05;0;.860;49
171839;189;189;1;59;0;1;0;32;29;3;3.00;0;.906;69
203276;139;139;4;240;3;1;0;111;103;8;2.00;1;.928;76
1061;505;505;5;298;3;2;0;145;136;9;1.81;2;.938;79
1072;481;481;2;127;2;0;0;50;44;6;2.83;0;.880;60
203288;135;135;5;298;2;3;0;174;158;16;3.22;1;.908;67
187537;117;117;4;183;1;2;0;93;79;14;4.57;0;.849;47
161583;4839;4839;1;60;1;0;0;25;23;2;2.00;0;.920;77
166646;16;16;3;179;2;1;0;79;72;7;2.35;1;.911;72
182339;82;82;1;60;1;0;0;18;16;2;2.00;0;.889;55
1213;713;713;2;122;1;1;0;57;53;4;1.96;0;.930;69
177106;412;412;2;130;0;0;2;52;46;6;2.76;0;.885;50
177124;775;775;4;192;2;1;1;98;91;7;2.19;0;.929;66
187550;111;111;4;231;1;3;0;120;107;13;3.36;1;.892;67
1601;573;573;3;180;2;1;0;93;87;6;2.00;0;.935;77
177155;411;411;3;179;1;2;0;86;74;12;4.01;0;.860;48
177156;1925;1925;5;296;2;2;1;204;190;14;2.84;1;.931;75
1669;32;32;2;119;0;2;0;51;46;5;2.52;0;.902;59
1712;880;880;3;179;1;2;0;94;85;9;3.01;0;.904;68
1756;500;500;4;238;1;3;0;136;130;6;1.51;1;.956;83
1765;1430;1430;2;94;1;1;0;58;48;10;6.38;0;.828;38
1838;644;644;4;218;2;2;0;96;86;10;2.75;0;.896;59
171930;422;422;2;119;0;2;0;58;52;6;3.02;0;.897;66
192862;187;187;2;119;1;1;0;60;55;5;2.51;0;.917;68
1957;733;733;6;272;1;3;0;155;139;16;3.53;0;.897;60
166751;5;5;4;186;0;3;0;131;115;16;5.15;0;.878;60
