PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
15;30;30;2;137;1;0;1;74;67;7;3.06;0;.905;70
197940;100;100;32;1868;13;15;4;919;811;108;3.47;1;.882;59
67;11;11;23;1272;6;9;4;711;638;73;3.44;0;.897;63
83;737;737;54;3244;32;19;3;1477;1347;130;2.40;4;.912;69
147;543;543;19;1101;9;6;2;559;512;47;2.56;1;.916;72
166545;1096;1096;18;971;6;8;1;543;486;57;3.52;1;.895;65
192718;103;103;26;1554;13;8;4;815;739;76;2.93;2;.907;66
171787;4849;4849;12;681;1;8;2;411;367;44;3.87;0;.893;59
279;766;766;32;1942;20;9;3;871;799;72;2.22;4;.917;70
320;562;562;27;1565;14;13;0;932;861;71;2.72;3;.924;77
359;759;759;38;2315;23;12;3;1042;945;97;2.51;4;.907;69
192733;99;99;30;1610;11;14;2;976;887;89;3.32;0;.909;67
192739;92;92;28;1551;16;7;3;707;629;78;3.02;1;.890;60
483;2190;2190;35;2115;24;8;2;974;891;83;2.35;3;.915;72
501;1527;1527;18;1062;12;3;2;518;475;43;2.43;1;.917;70
504;740;740;22;1246;5;12;3;742;683;59;2.84;1;.920;74
197999;116;116;12;643;7;2;0;248;223;25;2.33;1;.899;59
556;3;3;43;2466;19;20;3;1290;1167;123;2.99;2;.905;67
595;740;740;33;1892;7;22;3;1164;1053;111;3.52;0;.905;69
676;34;34;24;1421;14;6;3;700;653;47;1.98;1;.933;77
166591;20;20;8;407;1;3;2;234;206;28;4.13;0;.880;56
779;5;5;16;946;7;7;1;572;520;52;3.30;0;.909;70
805;846;846;26;1579;16;6;4;627;565;62;2.36;3;.901;64
841;764;764;9;543;2;6;1;347;313;34;3.75;0;.902;67
848;743;743;34;2015;18;13;2;1231;1126;105;3.13;1;.915;75
161535;167;167;19;1138;9;8;2;564;521;43;2.27;1;.924;75
883;707;707;19;1060;3;14;1;617;540;77;4.36;0;.875;55
171838;31;31;40;2289;16;22;1;1415;1286;129;3.38;1;.909;73
192776;119;119;23;1324;12;9;1;666;576;90;4.08;0;.865;56
192780;118;118;14;636;5;2;2;387;349;38;3.58;0;.902;64
987;886;886;13;767;8;3;2;391;360;31;2.42;2;.921;72
203276;139;139;33;1750;5;21;4;1043;910;133;4.56;0;.872;54
1061;2167;2167;28;1471;8;16;2;856;756;100;4.08;0;.883;61
1072;511;511;21;1263;13;7;1;590;534;56;2.66;1;.905;65
203288;135;135;37;2089;11;20;5;1163;1039;124;3.56;0;.893;64
187537;19;19;32;1954;19;6;5;949;873;76;2.33;1;.920;70
161583;4839;4839;20;1201;7;13;0;635;559;76;3.80;0;.880;59
166646;16;16;21;1259;10;9;2;605;548;57;2.72;2;.906;69
182339;715;715;14;748;10;2;0;337;305;32;2.57;1;.905;64
198081;133;133;20;1185;14;5;1;593;527;66;3.34;0;.889;62
1213;713;713;31;1851;19;10;1;789;721;68;2.20;3;.914;67
177124;775;775;5;290;4;1;0;139;133;6;1.24;1;.957;85
1593;4837;4838;2;124;2;0;0;40;36;4;1.92;0;.900;56
161695;4337;4337;11;605;7;2;1;295;258;37;3.67;0;.875;55
1601;573;573;11;588;6;4;0;337;302;35;3.57;0;.896;62
177155;411;411;7;329;4;1;0;186;175;11;2.00;0;.941;75
177156;1481;1481;4;189;1;2;0;90;76;14;4.43;0;.844;44
208556;135;135;3;88;1;0;0;37;36;1;0.68;0;.973;61
1756;1497;1497;42;2530;21;19;2;1313;1200;113;2.68;3;.914;72
192847;144;144;12;624;3;7;0;345;310;35;3.36;1;.899;58
1838;644;644;33;1926;22;11;0;791;711;80;2.49;3;.899;63
208575;142;142;20;1019;9;6;0;549;496;53;3.12;1;.903;62
187578;53;10;29;1721;20;8;0;744;674;70;2.44;3;.906;67
171930;422;422;13;805;8;4;1;338;303;35;2.61;0;.896;64
1957;734;734;25;1351;7;13;2;827;757;70;3.11;2;.915;74
166751;5;5;27;1631;9;14;4;1010;924;86;3.16;0;.915;73
2059;23;23;18;851;3;8;2;495;441;54;3.80;0;.891;60
2140;553;553;27;1577;16;8;2;787;729;58;2.21;5;.926;78
182454;4864;4864;13;679;0;9;1;434;390;44;3.89;0;.899;64
2153;456;456;6;278;2;3;0;145;127;18;3.88;0;.876;57
192889;139;139;18;863;1;9;3;522;456;66;4.59;0;.874;55
2195;748;748;25;1428;14;10;1;723;664;59;2.48;4;.918;67
192895;143;143;30;1826;20;6;4;743;658;85;2.79;2;.886;60
192900;114;114;15;776;4;8;1;382;334;48;3.71;0;.874;56
182467;185;185;27;1536;10;13;3;883;810;73;2.85;1;.917;70
171970;82;82;24;1425;13;9;2;660;589;71;2.99;1;.892;60
2410;838;838;22;1331;14;7;1;688;615;73;3.29;0;.894;65
192915;179;179;15;907;11;3;1;440;412;28;1.85;2;.936;78
187628;227;227;19;1042;6;12;0;649;582;67;3.86;0;.897;63
203412;117;117;33;1797;18;10;2;914;798;116;3.87;0;.873;55
166839;1086;1086;8;469;1;5;2;244;210;34;4.35;0;.861;48
2643;742;742;50;3032;31;16;3;1482;1369;113;2.24;8;.924;74
2720;2465;2465;17;898;4;10;1;568;516;52;3.47;1;.908;69
192948;111;111;15;733;5;7;0;374;320;54;4.42;0;.856;46
182561;456;456;16;924;9;5;1;446;387;59;3.83;0;.868;55
187699;41;41;23;1225;4;16;0;879;790;89;4.36;0;.899;67
3075;617;617;26;1389;4;21;0;938;830;108;4.66;0;.885;61
3165;767;767;7;419;4;3;0;215;195;20;2.86;0;.907;69
3241;2197;2197;4;218;1;2;0;119;111;8;2.20;1;.933;78
3284;21;21;22;1348;14;6;2;637;574;63;2.80;3;.901;68
3359;878;878;23;1389;12;9;1;772;702;70;3.02;1;.909;72
3435;675;675;35;2030;11;22;2;1235;1118;117;3.46;0;.905;71
3508;746;746;45;2604;34;9;1;914;844;70;1.61;9;.923;69
193005;455;455;12;629;6;3;1;337;287;50;4.77;1;.852;46
193010;2579;2579;15;713;5;6;1;316;266;50;4.20;0;.842;44
172079;1086;1086;14;792;6;7;0;424;360;64;4.85;0;.849;47
3756;744;744;48;2868;28;18;2;1339;1225;114;2.38;5;.915;71
187813;499;499;4;245;3;0;1;112;104;8;1.96;0;.929;71
3928;12;12;33;1994;21;11;1;930;846;84;2.53;3;.910;69
3957;3730;3730;3;158;1;1;0;84;70;14;5.29;0;.833;44
203533;495;495;3;185;2;0;1;75;68;7;2.27;0;.907;60
4127;1440;1440;20;1028;5;9;2;638;563;75;4.37;1;.882;57
4219;1415;1415;5;303;2;2;1;117;107;10;1.98;0;.915;67
4281;3730;3730;7;384;4;2;1;189;176;13;2.03;1;.931;71
4379;2626;2626;14;787;7;6;0;424;384;40;3.05;2;.906;65
4487;4920;4920;14;799;9;3;2;348;321;27;2.03;2;.922;71
4504;586;577;5;299;4;1;0;140;125;15;3.01;0;.893;64
167061;772;772;18;1038;11;4;2;481;443;38;2.20;2;.921;69
4618;1877;1877;26;1488;4;21;1;985;883;102;4.11;1;.896;68
4622;38;38;26;1494;11;13;1;800;728;72;2.89;2;.910;69
182780;60;27;14;727;3;8;1;396;356;40;3.30;0;.899;61
5559;576;576;21;1204;8;11;1;659;603;56;2.79;2;.915;74
5565;843;839;6;283;1;3;0;169;152;17;3.59;0;.899;61
5573;2493;2493;13;786;5;7;1;433;400;33;2.52;2;.924;75
162945;631;631;22;1336;11;9;2;581;519;62;2.78;1;.893;64
5663;831;831;31;1869;20;6;4;726;664;62;1.99;4;.915;68
162979;548;548;25;1431;8;14;3;805;730;75;3.14;2;.907;71
5923;4742;4742;23;1292;11;9;2;621;541;80;3.71;1;.871;54
5997;706;706;26;1532;16;6;1;644;581;63;2.47;4;.902;67
