PlayerId;League;Team
197937;12;107
197937;44;392
197938;12;95
187464;42;359
171766;0;26
20;0;9
20;43;382
171767;42;364
197940;12;100
187465;42;361
187465;43;373
182242;42;359
31;42;363
192701;43;380
177004;42;363
182246;43;378
182247;43;377
187467;42;363
182248;43;372
72;0;23
82;0;27
192704;12;97
177007;0;15
177007;12;99
187469;43;384
197943;42;4846
182249;42;369
192706;42;357
182251;12;87
161392;0;4182
161392;42;358
93;0;8
166534;42;363
182252;38;314
177008;42;367
99;35;275
192708;43;374
161394;44;394
182253;42;363
171778;42;360
187471;12;102
166538;42;362
120;0;14
120;35;262
177010;42;365
177010;43;380
192710;12;89
182254;0;20
182254;12;103
129;0;14
182255;42;364
161399;42;369
192711;12;97
161401;43;381
161403;42;366
187472;12;86
197947;12;91
149;35;273
182256;38;316
177013;42;364
171781;43;375
187474;12;86
192713;43;384
187476;12;90
175;0;18
182259;42;356
166545;42;4846
182260;42;358
182261;12;105
182262;42;368
195;35;265
192717;12;94
161410;0;27
161410;43;386
192718;42;361
171787;42;359
171787;43;383
177017;43;378
213;0;4838
161412;43;386
218;34;255
218;243;4682
182264;12;101
187478;43;379
203186;12;106
187479;42;4846
187479;43;382
197953;12;90
161414;43;379
238;0;10
238;193;3797
203188;12;89
203189;12;96
182266;12;105
182266;45;409
197954;12;105
182267;43;380
203192;12;102
260;0;14
261;35;261
182268;38;321
182268;43;381
197958;43;380
166554;43;378
171791;43;384
192725;43;376
272;0;4182
197960;12;91
203198;12;92
177024;43;377
285;35;267
187483;12;88
288;0;19
288;193;3798
289;0;33
187485;0;21
187485;12;90
197962;12;99
197962;43;375
295;39;335
295;42;370
297;35;275
297;193;3800
166556;0;26
177025;12;92
203199;12;102
166557;0;14
203201;12;107
182270;42;368
177026;42;369
182271;12;93
326;0;24
192730;12;98
192730;43;386
177027;43;375
197966;12;96
161436;39;340
182272;42;363
182272;43;373
187487;42;4846
192733;12;99
364;0;5
197971;43;372
197972;12;100
203208;12;90
161444;38;316
161444;39;329
187491;42;360
197976;12;91
192736;12;92
203210;12;92
171796;0;32
166565;42;362
161450;39;330
425;0;31
425;243;4688
187493;43;386
171798;42;4846
192738;43;377
177035;43;376
182277;42;4846
182277;43;375
182278;43;372
197987;39;330
177036;41;4993
177036;43;371
192739;12;92
161455;34;242
187494;12;97
197989;11;121
192740;43;383
182281;43;386
197990;11;111
197990;38;4994
161460;39;335
182284;43;371
177039;38;316
187496;43;383
182285;38;306
182286;12;98
490;0;23
187497;42;363
187498;42;366
501;0;8
187499;12;91
161466;39;339
514;0;29
514;35;276
182288;43;379
182289;39;329
182290;38;322
187500;43;377
182291;38;322
171803;0;24
177041;39;330
177041;42;362
177041;43;379
533;0;8
197999;39;332
187502;42;363
171805;42;357
546;0;15
177044;42;363
177044;43;377
556;0;3
558;0;8
182292;41;2178
564;0;33
198002;11;111
198002;38;305
177046;0;17
177047;0;17
177047;12;96
166576;42;369
177048;42;369
585;38;309
182293;38;319
198004;38;302
171810;42;365
192745;12;106
192746;42;368
182294;38;327
161479;37;1903
166578;0;24
166578;42;359
166578;43;371
182295;38;4994
182296;39;339
198007;11;113
198007;38;313
198008;11;113
182297;38;326
182298;11;115
198009;38;316
615;0;3
198010;11;113
198011;39;339
198013;11;120
198013;39;337
161488;193;3800
182299;11;111
182299;38;317
192751;39;340
161490;37;301
161490;193;3796
177050;43;376
182300;11;111
177052;38;306
177052;43;385
177053;39;330
192753;11;122
171819;39;333
187508;42;368
192755;39;330
192756;11;126
192756;39;338
161495;39;335
187509;42;356
675;0;10
676;0;34
198016;11;122
182302;11;109
198017;39;329
182303;39;329
686;35;265
177054;39;337
182304;11;117
166590;39;339
699;0;0
699;35;262
166592;38;321
708;0;14
177056;38;307
177056;39;333
711;0;27
187511;42;362
198020;11;112
198020;38;312
187512;42;361
182305;11;109
182306;11;126
192763;11;121
182308;38;311
177057;38;4995
192765;11;112
198027;11;116
198027;39;335
177058;39;338
177059;39;335
177059;41;350
192766;38;326
198028;11;115
171827;39;329
187515;39;334
187516;11;113
187516;39;335
182309;38;312
161515;193;4635
182310;38;312
161518;193;3795
192767;38;313
177060;38;309
797;0;33
166602;39;340
192768;11;115
171829;39;329
192769;11;127
192769;39;329
182311;0;4838
182311;11;116
177061;38;311
198037;13;143
182312;0;33
182312;11;115
192770;39;339
182313;38;319
187517;38;310
177062;38;325
198039;13;138
841;0;11
192771;39;334
198040;39;334
161533;43;378
846;0;16
187518;38;316
848;0;22
182314;38;309
177063;39;333
198041;13;134
198041;39;336
198042;37;289
166610;39;335
192774;38;324
177064;38;306
177065;38;320
171835;42;359
171836;0;34
