PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
177003;423;423;28;0;4;-7;15;0;0;0;0;1;0;29;3;2;18;53;54;51;15;13831;2481;174;105.7;2.6;4.4;15.6;40.3;129;258;33.3;-7.3;86;204;29.7;-11.2;0;17;5
2;874;874;50;3;19;21;35;0;0;0;0;0;0;36;14;13;23;57;60;53;83;45725;523;2724;101.1;3.1;1.4;37.5;20.0;906;507;64.1;7.1;653;370;63.8;7.0;1;32;12
6;736;736;68;15;14;-21;36;0;0;1;0;0;0;92;21;35;58;58;60;55;99;55915;167;12430;98.9;2.6;4.0;25.9;36.3;774;988;43.9;1.5;566;761;42.7;-0.2;0;83;35
197938;95;95;56;11;24;43;45;1;5;0;1;3;2;92;11;14;49;64;51;75;112;52573;5461;9775;102.9;4.6;1.7;40.2;20.1;1096;554;66.4;5.0;806;419;65.8;4.5;2;0;0
9;1429;1429;42;3;8;-15;16;0;0;0;0;0;0;8;2;1;8;51;53;49;21;18086;2827;400;98.9;2.4;5.2;22.3;44.0;204;411;33.2;-15.9;157;302;34.2;-15.2;1;14;6
197939;97;97;13;0;0;0;4;0;0;0;0;0;0;9;3;1;10;53;48;57;5;11504;88;1613;103.3;2.8;2.8;21.6;28.8;150;177;45.9;-4.0;102;128;44.3;-6.4;0;0;0
12;741;741;68;26;30;-9;80;19;11;0;0;0;0;47;33;14;73;62;66;59;241;62463;16538;1632;98.4;2.4;2.8;32.4;31.0;1003;1011;49.8;1.4;760;757;50.1;0.6;5;152;74
13;732;732;68;14;19;6;32;1;2;0;0;0;0;29;11;15;81;64;62;64;91;45389;8617;2832;104.3;3.6;3.1;29.0;37.4;649;838;43.6;-7.6;492;639;43.5;-7.9;2;677;369
171766;46;9;51;27;14;17;14;4;4;1;0;0;0;52;22;17;45;67;67;64;149;42907;6502;4871;100.1;3.9;2.5;35.6;23.4;847;502;62.8;2.8;595;371;61.6;2.1;5;88;41
20;4838;4838;63;12;11;4;26;0;0;0;0;0;0;79;30;27;35;61;58;60;83;50219;147;8961;100.9;2.2;2.2;26.3;28.7;740;735;50.2;1.2;541;544;49.9;0.4;2;642;350
21;2197;2197;28;4;4;-6;4;0;1;0;0;0;0;9;9;6;13;58;58;57;45;19545;2222;959;98.0;1.7;2.6;28.4;33.0;313;304;50.7;-8.5;221;234;48.6;-10.5;1;58;19
171767;71;71;50;17;29;-1;40;7;14;1;1;0;0;87;17;12;68;69;63;74;148;47106;15303;4232;100.5;3.2;3.4;31.0;34.1;699;781;47.2;-2.9;534;601;47.0;-3.7;3;0;0
29;764;764;68;1;9;-10;50;0;0;0;1;0;0;65;12;11;57;58;52;64;51;49666;65;9352;100.4;2.0;2.8;25.5;38.8;637;970;39.6;-6.8;481;724;39.9;-6.9;0;2;0
171768;157;157;38;8;19;1;58;1;11;0;0;2;2;56;12;22;18;66;68;61;78;31593;6367;1849;99.2;2.8;2.4;35.7;27.1;584;442;56.9;1.0;433;340;56.0;-0.3;0;509;285
34;894;894;50;15;20;-13;42;5;8;0;0;0;0;74;17;22;39;68;65;65;103;49226;9430;2080;99.5;2.3;3.2;24.6;32.1;637;809;44.1;1.6;483;605;44.4;1.9;1;861;469
35;733;733;68;9;15;-26;18;0;1;0;0;0;0;76;6;13;92;56;57;55;70;50332;2707;3547;98.1;1.4;3.1;22.5;38.2;571;1001;36.3;-3.8;441;751;37.0;-3.3;3;85;37
36;748;748;32;6;5;-3;18;4;4;0;0;0;0;26;3;11;6;58;57;58;59;14383;8729;175;102.8;2.5;2.5;25.5;35.5;202;255;44.2;-5.3;145;196;42.5;-7.8;1;174;88
39;748;748;67;11;24;12;20;1;2;0;0;0;0;50;8;25;62;62;61;59;118;51299;3468;692;101.0;2.9;2.1;34.7;28.2;889;755;54.1;4.1;674;556;54.8;4.7;3;702;381
43;747;747;68;5;19;3;26;0;5;0;1;0;0;95;39;39;96;56;53;57;130;66767;6185;9523;99.6;2.5;2.4;32.5;28.8;1104;985;52.8;-2.3;827;733;53.0;-2.1;0;0;0
50;751;751;68;19;22;-11;19;14;12;0;0;0;0;33;11;15;59;65;69;59;165;39598;18179;915;98.6;1.8;2.6;27.2;32.5;618;653;48.6;-3.6;432;483;47.2;-4.6;5;11;4
192702;230;230;11;0;1;1;0;0;0;0;0;0;0;6;7;6;0;52;50;53;9;4943;0;721;102.1;2.2;1.5;26.2;23.3;77;60;56.2;-12.8;51;44;53.7;-15.3;0;9;6
53;500;500;55;13;18;24;44;1;1;1;0;0;0;85;15;20;76;63;58;66;120;56231;4331;4440;102.7;3.3;2.0;33.0;26.7;916;794;53.6;2.4;710;591;54.6;3.9;3;0;0
54;768;768;42;3;9;20;54;0;0;0;1;4;3;36;12;27;94;71;57;82;76;41577;1889;6778;100.7;3.2;1.6;39.1;22.0;842;472;64.1;1.0;620;351;63.9;0.1;0;1;0
56;774;774;54;5;11;12;28;0;0;0;2;0;0;20;18;4;11;52;53;49;60;37369;0;7236;102.2;2.9;2.1;26.9;24.7;534;502;51.5;-11.0;386;375;50.7;-11.5;1;199;97
59;774;743;43;5;5;22;31;0;0;2;1;1;0;46;9;9;33;58;51;63;43;34689;213;6236;102.5;3.1;1.1;33.9;17.1;606;334;64.5;5.2;446;249;64.2;5.5;2;1;0
161387;55;55;19;0;3;-2;2;0;0;0;0;0;0;19;8;12;31;55;50;59;24;16266;56;4138;98.2;2.2;2.7;32.1;30.5;285;232;55.1;-2.3;200;182;52.4;-3.7;0;0;0
72;741;741;68;11;15;2;44;0;1;0;1;0;0;86;35;36;115;58;53;62;110;55272;1113;6479;99.9;2.7;2.6;31.8;30.5;870;871;50.0;1.5;654;640;50.5;1.2;2;0;0
171774;582;582;36;20;29;19;14;9;15;0;0;0;0;42;22;19;51;82;72;86;151;28387;13464;7776;101.4;4.6;2.2;36.7;19.5;583;281;67.5;5.3;422;215;66.2;5.6;2;349;185
80;740;740;68;9;6;-21;24;1;2;0;0;0;0;64;11;14;31;55;57;52;98;48649;6252;193;98.8;1.8;3.0;25.5;37.2;628;958;39.6;-1.7;465;708;39.6;-2.0;0;1;0
81;1423;1423;28;1;2;-16;20;0;0;0;0;0;0;29;5;3;23;49;48;50;21;25690;25;4789;98.9;1.4;3.8;20.3;47.5;247;630;28.2;-6.7;183;470;28.0;-6.3;0;1;0
82;27;27;60;18;25;17;16;3;5;0;0;0;0;50;29;25;32;68;69;64;165;67257;5131;450;100.2;3.3;2.4;35.2;26.1;1279;843;60.3;-1.0;936;650;59.0;-1.9;3;971;541
192704;97;97;60;20;19;15;58;0;0;1;2;2;1;128;14;36;90;69;65;67;102;44370;974;11153;101.3;3.7;2.8;30.8;26.9;721;611;54.1;5.2;521;460;53.1;4.1;3;937;463
177007;69;15;55;19;22;9;42;1;5;1;2;0;0;95;20;27;82;66;66;61;141;53157;4437;6731;98.7;2.6;2.3;34.7;26.3;950;742;56.1;1.4;705;547;56.3;1.4;4;92;36
182251;54;54;46;4;15;0;16;0;1;0;0;0;0;42;24;12;68;57;55;58;78;48060;4390;5085;106.1;3.0;2.8;22.8;40.7;555;1004;35.6;-5.3;420;741;36.2;-4.9;0;0;0
161392;4182;4182;61;20;26;-15;22;14;12;0;0;0;0;132;33;27;65;73;72;69;167;55696;11332;309;96.2;1.9;2.8;34.2;29.2;952;825;53.6;-0.2;714;593;54.6;0.8;1;93;50
93;42;8;50;21;30;10;30;15;14;0;0;0;0;59;20;15;20;67;71;63;224;43612;15807;1632;98.6;3.0;1.9;36.8;20.1;846;476;64.0;4.6;630;347;64.5;4.8;2;19;9
177008;177;177;8;2;1;1;0;0;0;0;0;0;0;3;1;0;2;51;53;49;2;2547;31;67;104.3;4.2;2.8;29.7;28.3;38;38;50.0;-0.3;28;31;47.5;-0.9;0;14;7
99;737;737;68;22;31;3;56;6;19;0;0;0;0;75;25;20;31;67;70;67;171;52418;16481;130;100.0;2.4;2.1;28.9;25.7;818;736;52.6;-4.4;600;544;52.4;-3.6;4;1047;562
100;751;751;68;9;16;-6;18;4;7;0;0;0;0;37;9;11;20;58;60;58;93;28233;5847;837;98.6;1.9;2.7;31.0;35.3;436;481;47.5;-4.6;321;366;46.7;-4.9;2;466;257
102;4636;4636;55;5;8;9;30;0;0;0;0;4;0;56;6;11;28;58;50;66;88;46872;312;3278;97.4;2.8;2.1;34.9;19.7;860;486;63.9;11.8;630;343;64.7;12.8;1;0;0
110;612;612;44;3;8;1;8;1;0;0;2;0;0;29;4;13;23;57;58;54;53;21873;462;2413;98.4;2.1;2.3;33.9;29.0;376;338;52.7;-11.0;290;240;54.7;-9.4;1;164;76
111;738;738;68;23;32;11;54;8;11;1;0;0;0;93;25;32;62;70;71;66;210;62524;14535;12244;100.1;2.9;2.2;33.6;25.9;1114;800;58.2;5.2;842;620;57.6;4.7;6;415;184
115;746;746;56;9;23;33;58;0;3;1;0;4;2;51;9;19;47;68;69;64;146;54680;4695;7684;100.1;3.8;1.7;40.8;18.7;1193;502;70.4;7.2;874;371;70.2;6.9;0;269;124
119;2545;2545;24;0;1;-3;22;0;0;0;0;2;0;26;4;7;25;54;50;57;7;13583;83;2030;97.8;0.5;1.3;23.1;29.2;181;215;45.7;-3.0;131;166;44.1;-4.5;0;0;0
120;31;31;59;17;27;-8;24;5;9;0;0;0;0;107;25;23;69;75;67;75;167;55316;11731;1000;100.2;2.7;3.1;28.7;33.5;758;942;44.6;1.9;596;708;45.7;3.9;2;1008;463
127;556;556;45;18;30;12;16;10;11;0;0;0;0;49;14;12;34;68;75;64;191;40850;11817;206;99.8;3.1;1.9;39.7;24.3;819;466;63.7;2.0;626;361;63.4;1.8;3;381;201
129;18;18;60;16;28;-1;36;5;5;0;0;0;0;87;25;27;30;62;61;60;141;56510;9965;3111;100.5;3.1;3.0;30.0;30.3;833;898;48.1;3.7;626;653;48.9;4.8;2;97;49
182255;425;425;27;4;4;4;4;0;0;0;0;0;0;23;12;5;5;64;58;65;45;23496;248;3485;99.5;2.5;1.8;29.9;21.1;411;270;60.4;3.5;301;182;62.3;6.0;0;375;182
192711;93;93;38;4;7;5;40;0;1;1;0;4;1;52;12;9;28;52;51;51;49;38101;459;5442;102.9;2.9;2.6;27.4;32.6;552;622;47.0;2.3;408;467;46.6;2.5;0;0;0
138;844;844;45;12;13;-19;37;1;1;0;0;3;1;58;18;11;11;61;66;54;88;40181;2851;4105;96.9;2.3;4.0;27.1;34.5;548;707;43.7;-2.0;404;519;43.8;-1.1;1;115;61
139;4989;4989;56;3;16;-13;32;0;1;0;0;0;0;76;7;15;78;62;55;67;52;48302;886;3182;100.8;2.5;3.6;22.4;34.0;571;897;38.9;-2.8;428;629;40.5;-1.4;0;0;0
