League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2033-9-13;10;3;32;4;Pre-Season;1;0;0;1331
0;2033-9-13;18;4;12;1;Pre-Season;1;0;0;1333
0;2033-9-13;31;0;20;6;Pre-Season;1;0;0;1329
0;2033-9-13;4182;2;21;1;Pre-Season;1;0;0;1337
0;2033-9-13;22;3;28;4;Pre-Season;1;0;0;1341
0;2033-9-13;9;0;24;3;Pre-Season;1;0;0;1343
0;2033-9-13;26;2;4838;1;Pre-Season;1;0;0;1339
0;2033-9-13;25;5;33;2;Pre-Season;1;0;0;1335
0;2033-9-13;11;1;17;0;Pre-Season;1;0;0;1319
0;2033-9-13;30;2;16;5;Pre-Season;1;0;0;1317
0;2033-9-13;14;4;23;1;Pre-Season;1;0;0;1327
0;2033-9-13;19;5;15;1;Pre-Season;1;0;0;1315
0;2033-9-13;5;0;27;3;Pre-Season;1;0;0;1313
0;2033-9-13;3;5;29;3;Pre-Season;1;0;0;1323
0;2033-9-13;35;4;34;2;Pre-Season;1;0;0;1325
0;2033-9-13;8;5;0;8;Pre-Season;1;0;0;1321
0;2033-9-15;17;5;24;3;Pre-Season;1;0;0;1365
0;2033-9-15;3;2;30;3;Pre-Season;1;1;0;1363
0;2033-9-15;14;2;9;1;Pre-Season;1;1;0;1369
0;2033-9-15;35;7;26;4;Pre-Season;1;0;0;1371
0;2033-9-15;32;2;23;3;Pre-Season;1;0;0;1373
0;2033-9-15;10;7;31;4;Pre-Season;1;0;0;1375
0;2033-9-15;29;6;22;0;Pre-Season;1;0;0;1361
0;2033-9-15;16;4;11;2;Pre-Season;1;0;0;1367
0;2033-9-15;15;6;5;2;Pre-Season;1;0;0;1351
0;2033-9-15;20;4;33;1;Pre-Season;1;0;0;1349
0;2033-9-15;28;2;8;3;Pre-Season;1;0;0;1345
0;2033-9-15;18;4;19;1;Pre-Season;1;0;0;1347
0;2033-9-15;34;0;0;1;Pre-Season;1;0;0;1359
0;2033-9-15;4838;6;4182;3;Pre-Season;1;0;0;1355
0;2033-9-15;12;1;21;2;Pre-Season;1;1;1;1357
0;2033-9-15;27;4;25;2;Pre-Season;1;0;0;1353
0;2033-9-16;12;2;4838;3;Pre-Season;1;0;0;1399
0;2033-9-16;23;3;11;1;Pre-Season;1;0;0;1395
0;2033-9-16;15;4;18;2;Pre-Season;1;0;0;1401
0;2033-9-16;24;3;14;2;Pre-Season;1;1;0;1403
0;2033-9-16;21;4;10;1;Pre-Season;1;0;0;1405
0;2033-9-16;5;6;27;5;Pre-Season;1;1;0;1407
0;2033-9-16;9;2;29;3;Pre-Season;1;0;0;1393
0;2033-9-16;26;6;34;3;Pre-Season;1;0;0;1397
0;2033-9-16;22;3;19;0;Pre-Season;1;0;0;1383
0;2033-9-16;25;3;3;5;Pre-Season;1;0;0;1381
0;2033-9-16;33;3;4182;2;Pre-Season;1;1;1;1391
0;2033-9-16;8;3;32;5;Pre-Season;1;0;0;1379
0;2033-9-16;30;4;31;2;Pre-Season;1;0;0;1377
0;2033-9-16;17;3;28;1;Pre-Season;1;0;0;1387
0;2033-9-16;0;3;16;4;Pre-Season;1;0;0;1389
0;2033-9-16;20;4;35;2;Pre-Season;1;0;0;1385
0;2033-9-18;15;0;25;3;Pre-Season;1;0;0;1417
0;2033-9-18;18;5;24;6;Pre-Season;1;0;0;1419
0;2033-9-18;3;0;27;3;Pre-Season;1;0;0;1415
0;2033-9-18;33;4;0;1;Pre-Season;1;0;0;1413
0;2033-9-18;22;10;5;5;Pre-Season;1;0;0;1411
0;2033-9-18;32;3;21;2;Pre-Season;1;0;0;1409
0;2033-9-18;28;4;8;3;Pre-Season;1;1;1;1421
0;2033-9-18;19;5;31;2;Pre-Season;1;0;0;1423
0;2033-9-18;4182;4;9;8;Pre-Season;1;0;0;1437
0;2033-9-18;26;2;30;3;Pre-Season;1;0;0;1435
0;2033-9-18;11;1;23;2;Pre-Season;1;0;0;1433
0;2033-9-18;10;0;20;4;Pre-Season;1;0;0;1439
0;2033-9-18;35;6;12;5;Pre-Season;1;1;0;1425
0;2033-9-18;29;4;16;1;Pre-Season;1;0;0;1431
0;2033-9-18;4838;5;14;6;Pre-Season;1;0;0;1427
0;2033-9-18;34;5;17;2;Pre-Season;1;0;0;1429
0;2033-9-19;27;6;18;2;Pre-Season;1;0;0;1459
0;2033-9-19;35;4;26;0;Pre-Season;1;0;0;1463
0;2033-9-19;16;2;19;3;Pre-Season;1;0;0;1461
0;2033-9-19;9;1;10;0;Pre-Season;1;0;0;1465
0;2033-9-19;17;5;32;4;Pre-Season;1;1;1;1469
0;2033-9-19;12;6;33;5;Pre-Season;1;0;0;1471
0;2033-9-19;8;2;15;5;Pre-Season;1;0;0;1467
0;2033-9-19;23;2;22;7;Pre-Season;1;0;0;1457
0;2033-9-19;14;5;3;1;Pre-Season;1;0;0;1441
0;2033-9-19;31;3;28;2;Pre-Season;1;1;1;1443
0;2033-9-19;25;3;34;0;Pre-Season;1;0;0;1447
0;2033-9-19;30;3;0;1;Pre-Season;1;0;0;1445
0;2033-9-19;5;2;21;4;Pre-Season;1;0;0;1449
0;2033-9-19;20;5;29;4;Pre-Season;1;1;0;1453
0;2033-9-19;4182;8;4838;2;Pre-Season;1;0;0;1455
0;2033-9-19;24;3;11;4;Pre-Season;1;1;0;1451
0;2033-9-21;18;4;32;1;Pre-Season;1;0;0;1495
0;2033-9-21;11;3;17;4;Pre-Season;1;0;0;1493
0;2033-9-21;33;3;12;5;Pre-Season;1;0;0;1491
0;2033-9-21;26;6;9;5;Pre-Season;1;1;1;1503
0;2033-9-21;4182;3;14;6;Pre-Season;1;0;0;1497
0;2033-9-21;22;0;23;1;Pre-Season;1;0;0;1489
0;2033-9-21;34;4;35;3;Pre-Season;1;0;0;1499
0;2033-9-21;21;6;30;1;Pre-Season;1;0;0;1501
0;2033-9-21;24;2;31;5;Pre-Season;1;0;0;1481
0;2033-9-21;29;5;20;2;Pre-Season;1;0;0;1473
0;2033-9-21;4838;1;8;3;Pre-Season;1;0;0;1475
0;2033-9-21;15;2;27;1;Pre-Season;1;1;0;1477
