TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
0;0;Montreal;Canadiens;MTL;-1;-1;-1;-1;-1;-1;-1;-1;#c60000;#0031ad;#fefef4;0;0
3;0;Toronto;Maple Leafs;TOR;-1;-1;-1;-1;-1;-1;-1;-1;#000084;#000084;#fefef4;0;0
5;0;Boston;Bruins;BOS;-1;-1;-1;-1;-1;-1;-1;-1;#ffc422;#000000;#fefef4;0;0
8;0;Chicago;Blackhawks;CHI;-1;-1;-1;-1;-1;-1;-1;-1;#e3263a;#000000;#fefef4;1;1
9;0;Detroit;Red Wings;DET;-1;-1;-1;-1;-1;-1;-1;-1;#bf0000;#bf0000;#fefef4;0;0
10;0;New York;Rangers;NYR;-1;-1;-1;-1;-1;-1;-1;-1;#0161ab;#e6393f;#fefef4;0;1
11;0;Los Angeles;Kings;LAK;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#afb7ba;#fefef4;1;0
12;0;Dallas;Stars;DAL;-1;-1;-1;-1;-1;-1;-1;-1;#01865b;#000000;#fefef4;1;1
14;0;Philadelphia;Flyers;PHI;-1;-1;-1;-1;-1;-1;-1;-1;#ff6319;#000000;#fefef4;0;1
15;0;Pittsburgh;Penguins;PIT;-1;-1;-1;-1;-1;-1;-1;-1;#ffb81c;#000000;#fefef4;0;1
16;0;St. Louis;Blues;STL;-1;-1;-1;-1;-1;-1;-1;-1;#0546a0;#101f48;#ffc325;1;1
17;0;Buffalo;Sabres;BUF;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#ff0000;#fefef4;0;0
18;0;Vancouver;Canucks;VAN;-1;-1;-1;-1;-1;-1;-1;-1;#000084;#216300;#fefef4;1;0
19;0;Calgary;Flames;CGY;-1;-1;-1;-1;-1;-1;-1;-1;#c62100;#000000;#ffc600;1;0
20;0;New York;Islanders;NYI;-1;-1;-1;-1;-1;-1;-1;-1;#00529b;#f57d31;#fefef4;0;1
21;0;New Jersey;Devils;NJD;-1;-1;-1;-1;-1;-1;-1;-1;#e03a3e;#000000;#fefef4;0;1
22;0;Washington;Capitals;WAS;-1;-1;-1;-1;-1;-1;-1;-1;#c60c30;#002147;#fefef4;0;1
23;0;Edmonton;Oilers;EDM;-1;-1;-1;-1;-1;-1;-1;-1;#002776;#ff6319;#fefef4;1;0
24;0;Carolina;Hurricanes;CAR;-1;-1;-1;-1;-1;-1;-1;-1;#e03a3e;#000000;#fefef4;0;1
25;0;Colorado;Avalanche;COL;-1;-1;-1;-1;-1;-1;-1;-1;#8b2942;#01548a;#a9b0b8;1;1
26;0;Arizona;Coyotes;ARZ;-1;-1;-1;-1;-1;-1;-1;-1;#8c2633;#000000;#e2d6b5;1;1
27;0;San Jose;Sharks;SJS;-1;-1;-1;-1;-1;-1;-1;-1;#006778;#000000;#fefef4;1;0
28;0;Ottawa;Senators;OTT;-1;-1;-1;-1;-1;-1;-1;-1;#e4173e;#000000;#fefef4;0;0
29;0;Tampa Bay;Lightning;TBL;-1;-1;-1;-1;-1;-1;-1;-1;#013e7d;#000000;#fefef4;0;0
30;0;Anaheim;Ducks;ANA;-1;-1;-1;-1;-1;-1;-1;-1;#ef5225;#91764b;#fefef4;1;0
31;0;Florida;Panthers;FLA;-1;-1;-1;-1;-1;-1;-1;-1;#c60c30;#002e5f;#d59c05;0;0
32;0;Nashville;Predators;NSH;-1;-1;-1;-1;-1;-1;-1;-1;#002e62;#fdbb2f;#fefef4;1;1
33;0;Winnipeg;Jets;WPG;-1;-1;-1;-1;-1;-1;-1;-1;#041e42;#00488f;#fefef4;1;1
34;0;Columbus;Blue Jackets;CBJ;-1;-1;-1;-1;-1;-1;-1;-1;#00285c;#e03a3e;#fefef4;0;1
35;0;Minnesota;Wild;MIN;-1;-1;-1;-1;-1;-1;-1;-1;#025736;#bf2b37;#eee3c7;1;1
36;1;Syracuse;Crunch;SYR;29;-1;-1;-1;-1;-1;-1;-1;#1d427c;#a9a8ac;#fefef4;0;1
37;1;Manitoba;Moose;MAN;33;-1;-1;-1;-1;-1;-1;-1;#041e42;#a8a9ad;#fefef4;1;0
38;1;Providence;Bruins;PRO;5;-1;-1;-1;-1;-1;-1;-1;#000000;#ffb81c;#fefef4;0;0
39;1;Rochester;Americans;RCH;17;-1;-1;-1;-1;-1;-1;-1;#001489;#e4002b;#fefef4;0;1
40;1;Calgary;Wranglers;CLG;19;-1;-1;-1;-1;-1;-1;-1;#c62100;#000000;#ffc758;1;1
41;1;Charlotte;Checkers;CHA;31;-1;-1;-1;-1;-1;-1;-1;#c8102e;#8a8d8f;#fefef4;0;0
42;1;Rockford;IceHogs;RCK;8;-1;-1;-1;-1;-1;-1;-1;#c8102e;#000000;#fefef4;1;0
43;1;Cleveland;Monsters;CLE;34;-1;-1;-1;-1;-1;-1;-1;#9d2235;#000000;#f2a900;0;1
44;1;Tucson;Roadrunners;TUC;26;-1;-1;-1;-1;-1;-1;-1;#98012e;#b17d58;#eee3c7;1;1
45;1;Texas;Stars;TEX;12;-1;-1;-1;-1;-1;-1;-1;#154734;#aa8a00;#fefef4;1;0
46;1;Grand Rapids;Griffins;GRA;9;-1;-1;-1;-1;-1;-1;-1;#003057;#bb0e31;#fefef4;1;0
47;1;Bakersfield;Condors;BAK;23;-1;-1;-1;-1;-1;-1;-1;#041e42;#8b634b;#fefef4;1;1
48;1;Henderson;Silver Knights;HEN;4182;-1;-1;-1;-1;-1;-1;-1;#333f48;#000000;#fefef4;1;1
49;1;Ontario;Reign;ONT;11;-1;-1;-1;-1;-1;-1;-1;#250e62;#000000;#c69214;1;1
50;1;Iowa;Wild;IOW;35;-1;-1;-1;-1;-1;-1;-1;#154734;#a6192e;#ddcba4;1;0
51;1;Laval;Rocket;LAV;0;-1;-1;-1;-1;-1;-1;-1;#a6192e;#012169;#fefef4;0;1
52;1;Bridgeport;Islanders;BRI;20;-1;-1;-1;-1;-1;-1;-1;#003087;#e03c31;#fefef4;0;0
53;1;Hartford;Wolf Pack;HAR;10;-1;-1;-1;-1;-1;-1;-1;#000000;#e4002b;#fefef4;0;0
54;1;Milwaukee;Admirals;MIL;32;-1;-1;-1;-1;-1;-1;-1;#000000;#69b3e7;#d5d4d4;1;0
55;1;Utica;Comets;UTI;21;-1;-1;-1;-1;-1;-1;-1;#c8102e;#000000;#fefef4;0;1
56;1;Belleville;Senators;BEL;28;-1;-1;-1;-1;-1;-1;-1;#c8102e;#c69214;#fefef4;0;1
