League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;0;8;30;0;2;1;1;19;89;155;.232
0;3;0;0;17;22;0;0;1;3;37;107;130;.440
0;5;0;0;23;15;0;2;3;2;50;120;114;.595
0;8;1;1;21;19;0;2;1;1;45;125;122;.523
0;9;0;0;18;23;0;2;1;0;38;104;129;.442
0;10;0;1;22;20;0;0;0;1;45;157;152;.523
0;11;1;0;27;15;0;1;3;0;55;159;126;.640
0;12;1;1;15;21;0;2;0;3;35;113;141;.427
0;14;0;1;21;18;0;1;2;1;44;113;122;.537
0;15;0;1;35;7;0;1;3;0;71;171;105;.826
0;16;1;1;19;20;0;1;2;2;41;118;144;.488
0;17;0;0;25;15;0;1;1;2;53;140;112;.616
0;18;1;0;29;11;0;3;0;0;61;160;115;.709
0;19;1;0;16;24;0;3;1;0;35;112;147;.407
0;20;0;1;13;24;0;1;0;3;30;108;148;.366
0;21;0;1;22;20;0;0;2;0;44;125;124;.524
0;22;0;1;31;9;0;2;0;0;64;167;95;.762
0;23;1;0;26;14;0;1;1;1;54;122;103;.643
0;24;0;1;16;19;0;3;1;2;37;118;136;.463
0;25;1;1;29;11;0;1;1;1;60;176;113;.714
0;26;1;1;24;15;0;3;2;0;51;139;128;.607
0;27;1;0;14;24;0;1;0;0;29;121;134;.372
0;28;0;0;14;22;0;2;1;6;36;117;145;.409
0;29;0;0;25;10;0;1;2;2;53;134;106;.697
0;30;1;0;23;17;0;2;1;1;49;122;113;.570
0;31;0;0;11;28;0;3;2;0;25;87;141;.298
0;32;1;1;15;24;0;3;2;1;34;106;148;.395
0;33;1;1;17;20;0;4;1;2;40;106;142;.465
0;34;0;1;32;6;0;3;0;1;68;172;95;.810
0;35;1;1;24;16;0;1;1;0;49;128;117;.598
0;4182;1;0;22;19;0;0;1;1;45;98;118;.536
0;4838;1;0;16;18;0;4;1;1;37;114;128;.474
1;36;0;1;15;14;0;0;1;3;33;98;108;.516
1;37;1;0;16;11;0;2;1;4;38;101;103;.576
1;38;0;0;8;22;0;1;1;2;19;68;137;.288
1;39;0;1;21;13;0;0;3;0;42;118;103;.618
1;40;1;1;13;20;0;0;1;1;27;102;126;.397
1;41;0;0;21;11;0;0;3;2;44;106;83;.647
1;42;1;0;13;16;0;1;3;2;29;103;121;.453
1;43;0;1;27;8;0;0;3;0;54;159;84;.771
1;44;1;1;15;16;0;0;2;3;33;101;120;.485
1;45;1;0;9;23;0;0;3;2;20;70;122;.294
1;46;1;0;20;8;0;2;2;3;45;114;82;.682
1;47;1;1;21;11;0;2;4;1;45;116;89;.643
