TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;40;104;109;1152;1380;50.2;755;834;229;226;0;9.88;124;18;0;147;22;6;409885;285824;20494;14291;8;1;96
3;39;129;89;1311;1096;51.3;585;926;198;254;0;6.28;108;27;0;104;13;3;311129;314922;18301;14314;2;4;93
5;41;93;127;1147;1397;49.8;742;900;229;239;0;8.20;137;21;3;144;21;2;222380;325561;11704;14798;0;3;61
8;38;105;96;1262;1083;48.8;533;768;214;253;0;8.00;125;21;3;129;26;3;402996;304380;22388;15219;15;4;100
9;39;117;143;1211;1427;50.7;687;829;198;249;0;8.97;106;24;2;125;28;1;255973;266900;12798;14047;0;2;64
10;38;109;131;1006;1511;51.4;744;683;213;278;0;9.16;130;31;2;141;29;4;248510;260791;12425;14488;0;4;69
11;39;83;153;950;1507;47.2;720;885;216;223;0;9.59;124;23;7;149;43;1;213732;273667;10686;14403;0;2;57
12;40;119;142;1262;1332;49.8;616;797;218;248;0;8.47;149;29;8;141;34;2;372107;265149;17719;13955;2;4;93
14;39;106;124;1284;1261;48.9;620;821;236;262;0;9.00;143;18;2;133;38;5;383171;277218;19158;14590;3;3;94
15;40;150;79;1525;963;53.0;530;681;229;240;0;5.67;134;30;1;98;10;2;317172;328262;18657;14272;16;5;100
16;40;131;99;1472;997;49.8;508;742;196;242;0;7.72;130;31;1;125;18;5;332330;318278;18462;14467;2;5;92
17;35;98;93;1225;966;51.1;429;804;178;208;0;9.66;126;19;2;112;20;2;312889;216691;15644;14446;0;0;82
18;36;124;93;1257;1028;52.4;459;692;184;254;0;6.81;108;23;2;96;25;2;253518;255646;14084;14202;0;3;74
19;40;97;140;1214;1387;50.9;646;805;234;243;0;9.72;116;15;2;129;30;1;241563;290332;12078;14516;0;3;63
20;39;87;126;1029;1481;49.7;747;932;197;227;0;9.03;114;18;3;134;37;1;205917;319366;11439;15207;0;3;67
21;41;125;123;1422;1260;51.7;575;829;234;244;0;8.34;132;28;4;136;32;5;399234;239446;17358;13302;13;2;98
22;38;135;79;1567;869;48.7;417;819;195;246;0;7.05;126;28;1;120;20;2;327531;280026;18196;14001;11;2;98
23;39;118;149;1062;1393;48.7;716;827;200;299;0;8.77;134;27;1;130;27;2;265907;265547;13995;13277;0;1;75
24;38;118;125;1255;1272;50.6;644;735;188;246;0;7.47;125;28;3;126;26;0;261477;283768;13761;14935;0;3;72
25;38;122;75;1374;966;52.7;459;757;194;234;0;8.58;148;28;0;121;19;4;318033;235084;15144;13828;1;1;84
26;40;126;127;1272;1322;51.4;652;912;224;274;0;7.67;141;31;3;126;29;1;203852;271895;9266;15105;0;3;51
27;39;118;110;1362;1109;50.6;528;847;229;236;0;9.13;135;26;1;127;23;2;396398;245991;17234;15374;13;2;98
28;40;110;155;1117;1520;47.1;720;975;219;249;0;7.58;133;28;3;123;27;1;188403;319578;10466;14526;0;2;62
29;38;106;105;1205;1273;51.4;637;777;213;250;0;8.82;126;22;6;119;25;0;250239;311372;13902;15568;0;6;72
30;40;149;92;1551;1044;49.0;485;749;222;251;0;8.32;142;34;1;127;21;2;266583;306941;13329;15347;0;4;76
31;37;96;129;978;1403;46.8;678;834;209;240;0;10.05;123;26;1;136;27;3;229628;268068;12757;14108;0;1;62
32;38;118;117;1078;1429;49.7;651;883;197;223;0;8.39;129;29;2;135;24;2;180910;265413;9045;14745;0;3;53
33;38;104;143;1087;1500;50.1;688;632;205;214;0;7.95;115;28;2;134;26;4;163632;278026;8612;14632;0;2;56
